年度,落札日,落札金額,調達案件番号,案件名,落札者,法人番号
2026年度,2026-04-27,945327273,0000000000000591745,地域産品の高付加価値化・海外展開推進のための実証調査事業（公募事業）,株式会社読売新聞東京本社,8010001079224
2026年度,2026-07-06,315900000,0000000000000604269,08-0049-0128 チリ共和国におけるAPNの海外展開に向けた実証実験に係る調査研究の請負,ＮＴＴドコモビジネス株式会社,7010001064648
2024年度,2024-08-22,270900000,0000000000000465115,06-0049-0163欧州におけるオール光ネットワークの海外展開に向けた実証実験の請負,富士通株式会社,1020001071491
2025年度,2026-03-12,261000000,0000000000000581570,インバウンド消費動向調査の実施に係る業務,株式会社サーベイリサーチセンター,6011501006529
2023年度,2024-03-06,253000000,0000000000000428370,訪日外国人消費動向調査の実施に係る業務,株式会社サーベイリサーチセンター,6011501006529
2025年度,2026-03-03,245000000,0000000000000570998,08-0049-0044　放送コンテンツの海外展開に向けた人材育成に係る調査研究の請負,株式会社三菱総合研究所,6010001030403
2025年度,2026-02-27,223000000,0000000000000570581,07-0049-0350　デジタル分野における我が国企業の海外展開に向けた官民連携の在り方及び地方企業・スタートアップ企業による海外展開の促進に関する調査研究,ＰｗＣコンサルティング合同会社,1010401023102
2025年度,2026-02-27,217935460,0000000000000576384,令和８年度新興国等脱炭素化・エネルギー転換事業（省エネルギー人材育成・海外展開促進調査事業）,一般財団法人省エネルギーセンター,5010005018908
2024年度,2025-03-05,212000000,0000000000000500926,07-0049-0021安全性・信頼性を確保したデジタルインフラの海外展開支援事業において地方企業が実施するデジタル海外展開に関する調査の請負,ＫＰＭＧコンサルティング株式会社,8010001144647
2024年度,2024-04-23,206000000,0000000000000447993,06-0049-0069安全性・信頼性を確保したデジタルインフラの海外展開支援事業において地方企業が実施するデジタル海外展開に関する調査の請負（再度公告）,株式会社富士通総研,8010401050783
2025年度,2025-06-27,180000000,0000000000000529533,07-0049-0112　放送コンテンツの海外展開に向けた人材育成に係る調査研究の請負,株式会社三菱総合研究所,6010001030403
2025年度,2026-02-27,143339674,0000000000000576378,令和８年度新興国等脱炭素化・エネルギー転換事業（新エネルギー人材育成・海外展開促進調査事業）,一般財団法人日本エネルギー経済研究所,3010005018926
2024年度,2024-05-07,138552953,0000000000000450482,令和６年度質の高いインフラの海外展開に向けた事業実施可能性調査等事業（アフリカ市場活力取り込み事業実施可能性調査事業）,ＥＹ新日本有限責任監査法人,1010005005059
2023年度,2024-03-06,109600000,0000000000000435209,英国（ロンドン）、米国（ニューヨーク、テキサス）、タイで開催される展示会出展に係る運営業務委託,株式会社電通ライブ,4010001050790
2023年度,2023-06-06,108993764,0000000000000388455,令和５年度　沖縄県産酒類製造業者の海外展開に向けた調査業務,オリオンビール株式会社,7360001008504
2024年度,2024-06-14,99136840,0000000000000454420,令和６年度 沖縄県産酒類製造業者の海外展開に向けた調査業務,株式会社サーベイリサーチセンター,6011501006529
2023年度,2023-06-13,96760000,0000000000000389456,令和５年度日本産酒類の海外販路開拓支援事業に係る運営業務委託（後半）,株式会社電通ライブ,4010001050790
2023年度,2023-05-12,88500000,0000000000000385210,令和５年度日本産酒類の海外販路開拓支援事業に係る運営業務委託（前半）,株式会社横浜エージェンシー＆コミュニケーションズ,7020001024741
2023年度,2023-05-23,88500000,0000000000000385818,令和５年度国際環境協力及び環境インフラ海外展開推進業務[総合評価落札方式],一般社団法人海外環境協力センター,8010405010569
2024年度,2024-05-23,87750000,0000000000000450332,こども政策DX見本市開催事業(令和６年度) ,株式会社電通ライブ,4010001050790
2024年度,2025-03-05,83782000,0000000000000512222,07-0049-0041　「MWCバルセロナ2026」への日本ブース出展を通じた我が国ICT企業のグローバル展開促進に関する調査研究の請負,有限会社エムアンドエムカラー,3010002050436
2024年度,2024-06-28,83600000,0000000000000458496,令和６年度国際環境協力及び環境インフラ海外展開推進業務[総合評価落札方式],一般社団法人海外環境協力センター,8010405010569
2023年度,2023-11-13,82500000,0000000000000408613,05-0049-0242放送番組をはじめとする我が国のコンテンツの海外展開の促進に向けた効果的な情報発信に関する調査,株式会社ティーライブ,1010601030278
2025年度,2026-02-26,82489142,0000000000000568974,08-0049-0027　「MWCバルセロナ2027」への日本ブース出展を通じた我が国ICT企業のグローバル展開促進に関する調査研究の請負,一般財団法人日本ＩＴＵ協会,9010005016684
2023年度,2024-03-12,76400000,0000000000000432018,06-0049-0057「MWCバルセロナ2025」への日本ブース出展を通じた我が国ICT企業のグローバル展開促進及びBeyond5Gに関する周辺動向に関する調査研究の請負,一般財団法人日本ＩＴＵ協会,9010005016684
2025年度,2026-03-31,76000000,0000000000000586664,令和８年度環境インフラ海外展開プラットフォームの運営・管理等業務[総合評価落札方式],一般社団法人海外環境協力センター,8010405010569
2024年度,2025-03-19,74367000,0000000000000508207,令和７年度我が国循環産業の海外展開事業化促進業務の対象事業選定・統括等業務[総合評価落札方式],公益財団法人廃棄物・３Ｒ研究財団,9010605002464
2025年度,2026-03-09,73800000,0000000000000576735,令和８年度我が国循環産業の海外展開事業化促進業務の対象事業選定・統括等業務[総合評価落札方式],公益財団法人廃棄物・３Ｒ研究財団,9010605002464
2024年度,2024-08-30,72986271,0000000000000465266,06-0049-0164放送番組をはじめとする我が国のコンテンツの海外展開の促進に向けた効果的な情報発信に関する調査,株式会社電通,5010401143788
2025年度,2025-09-24,72727272,0000000000000540576,07-0049-0196　Beyond5G/6G時代に向けた柔軟性のある通信端末アーキテクチャのインドにおけるフィールド実証及び海外展開調査の請負,シャープセミコンダクターイノベーション株式会社,1240001053798
2025年度,2025-08-06,69903473,0000000000000536012,07-0049-0163　中央アジア・コーカサス地域における医療ICTシステムの海外展開に向けた調査研究の請負,株式会社デジタル・ナレッジ,3010501033008
2023年度,2023-09-01,69500000,0000000000000400883,中長期のインフラシステム海外展開の在り方に関する基礎的調査・検討業務,株式会社野村総合研究所,4010001054032
2023年度,2024-02-20,66834000,0000000000000426676,令和６年度我が国循環産業の海外展開事業化促進業務の対象事業選定・統括等業務[総合評価落札方式],公益財団法人廃棄物・３Ｒ研究財団,9010605002464
2024年度,2025-03-24,66000000,0000000000000500175,医療インバウンドに係る調査・実証事業,有限責任監査法人トーマツ,5010405001703
2025年度,2025-05-14,65500000,0000000000000522227,令和７年度国際環境協力及び環境インフラ海外展開推進業務[総合評価落札方式],一般社団法人海外環境協力センター,8010405010569
2024年度,2024-05-15,64000000,0000000000000450627,令和５年度補正文化芸術コンテンツ・スポーツ産業海外展開促進事業（文化創造産業領域戦略に関する調査研究事業）,ＰｗＣコンサルティング合同会社,1010401023102
2023年度,2023-10-23,63500000,0000000000000406020,05-0049-0224国内で開催する国際見本市を活用した放送コンテンツの海外展開に関する調査,株式会社メディア開発綜研,7011101030093
2024年度,2024-07-25,63178236,0000000000000461865,06-0049-0134国内で開催する国際見本市を活用した放送コンテンツの海外展開に関する調査,株式会社電通,5010401143788
2025年度,2026-03-19,61000000,0000000000000574160,07-0049-0351　放送・配信コンテンツ産業の競争力強化や海外展開の推進等に関する調査の請負,株式会社野村総合研究所,4010001054032
2025年度,2026-02-13,59930762,0000000000000565024,07-0049-0327　ブラジル連邦共和国とのオープンRAN等に係る連携強化に向けた訪日ミッションプログラムの実施及び調査の請負,株式会社ＪＴＢコミュニケーションデザイン,2010701023536
2025年度,2025-05-09,59000000,0000000000000520882,令和６年度補正対内直接投資促進・海外展開支援事業（進出先国税制等広報事業）,ＫＰＭＧ税理士法人,1010405003760
2025年度,2025-11-14,54684250,0000000000000550225,米国（ラスベガス・ネバダ州）で開催される展示会出展に係る運営業務委託,株式会社ＪＴＢコミュニケーションデザイン,2010701023536
2023年度,2023-07-11,54462980,0000000000000394326,令和５年度コンテンツ海外展開促進事業（コンテンツ海外展開のための官民連携体制構築事業）,一般財団法人デジタルコンテンツ協会,4010005018801
2026年度,2026-05-14,52500000,0000000000000595270,令和８年度廃棄物発電事業の海外展開に向けた本邦技術優位性分析調査委託業務〔総合評価落札方式〕,株式会社エイト日本技術開発,7260001000735
2024年度,2025-03-31,52500000,0000000000000513974,令和７年度廃棄物発電事業の海外展開に向けた本邦技術優位性分析調査委託業務,株式会社エイト日本技術開発,7260001000735
2025年度,2025-08-06,52107367,0000000000000536092,07-0049-0164 ポーランド共和国における再生可能エネルギーを活用したデータセンターの海外展開に係る調査研究の請負,鹿島建設株式会社,8010401006744
2023年度,2023-11-13,51371470,0000000000000411705,令和５年度成長型中小企業等研究開発支援事業（展示会出展支援等を通じた事業化支援に関する事業）,株式会社オノフ,7120001106100
2024年度,2024-12-04,50807935,0000000000000481372,令和５年度２０２５年日本国際博覧会出展事業（国際博覧会におけるジャパンデーのコンテンツ制作業務）,株式会社電通ライブ,4010001050790
2024年度,2025-03-07,49499999,0000000000000502876,英国（ロンドン）、豪州（シドニー）で開催される展示会出展に係る運営業務委託,株式会社横浜エージェンシー＆コミュニケーションズ,7020001024741
2025年度,2026-03-16,48000000,0000000000000564491,訪日外国人査証ホットラインの設置及び運営業務,株式会社ＢＲＩＤＧＥ　ＭＵＬＴＩＬＩＮＧＵＡＬ　ＳＯＬＵＴＩＯＮＳ,5011101058228
2025年度,2025-04-22,46431000,0000000000000518861,米国（フロリダ州・マイアミ）、ドイツ（ベルリン）で開催される展示会出展に係る運営業務委託,株式会社電通ライブ,4010001050790
2024年度,2024-06-14,45580000,0000000000000455920,ドイツ（ベルリン）、インド（ムンバイ）で開催される酒類展示会出展に係る運営業務委託,株式会社電通ライブ,4010001050790
2024年度,2025-02-25,45000000,0000000000000501709,令和７年度コンテンツ海外展開促進事業（コンテンツ海外展開のための官民連携体制構築事業）,一般財団法人デジタルコンテンツ協会,4010005018801
