案件名,発注機関,関連度,調達案件番号,過年度実績件数,直近落札日,直近落札金額,直近落札者,根拠,URL
Beyond 5Gなどの移動通信システムの社会実装・海外展開を加速するためのビジネス展開志向型の知財・国際標準化戦略に関する調査等の請負,総務省,4,0000000000000549103,1,2025-11-14,28000000,株式会社三菱総合研究所,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000549103
【本省】令和８年度内外一体の経済成長戦略構築にかかる国際経済調査事業（中国企業の海外展開エコシステム化を踏まえた日本企業の戦略的対応に関する調査）,経済産業省,4,0000000000000620577,43,2026-08-05,13000000,ＰｗＣコンサルティング合同会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000620577
【九州局】令和８年度市場競争環境評価調査（伝統的工芸品の越境取引における商慣行・流通構造と参入障壁に関する調査）に係る役務請負,経済産業省,4,0000000000000622356,3,2026-07-23,5359940,株式会社東京商工リサーチ,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000622356
07-0049-0254 放送・配信コンテンツ産業の競争力強化や海外展開の推進等に関する調査の請負,総務省,3,0000000000000550674,2,2026-03-19,61000000,株式会社野村総合研究所,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000550674
マネージドネットワークサービス（MOFN）に係るオール光ネットワーク技術の海外展開に向けた調査研究の請負,総務省,3,0000000000000554975,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000554975
オープンRAN市場における我が国のRU機器の海外展開に向けた調査請負,総務省,3,0000000000000555877,1,2025-12-26,16500000,株式会社ＯＲＥＸ　ＳＡＩ,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000555877
デジタル分野における我が国企業の海外展開に向けた官民連携の在り方及び地方企業・スタートアップ企業による海外展開の促進に関する調査研究,総務省,3,0000000000000570581,1,2026-02-27,223000000,ＰｗＣコンサルティング合同会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000570581
放送コンテンツの海外展開に向けた人材育成に係る調査研究の請負,総務省,3,0000000000000570998,2,2026-03-03,245000000,株式会社三菱総合研究所,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000570998
07-0049-0351 放送・配信コンテンツ産業の競争力強化や海外展開の推進等に関する調査の請負,総務省,3,0000000000000574160,2,2026-03-19,61000000,株式会社野村総合研究所,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000574160
08-0049-0104 コーカサス地域及び中央アジアにおける医療ICTシステムの海外展開に向けた調査研究の請負,総務省,3,0000000000000598010,1,2026-06-05,15104240,フォーティエンスコンサルティング株式会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000598010
チリ共和国におけるAPNの海外展開に向けた実証実験に係る調査研究の請負,総務省,3,0000000000000604269,1,2026-07-06,315900000,ＮＴＴドコモビジネス株式会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000604269
インドにおけるAPNの海外展開に向けたラボの設立及びフィールド実証を含む実証実験及び調査研究の請負,総務省,3,0000000000000608889,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000608889
08-0049-0192 量子暗号通信の海外展開に向けた海外実証等の請負,総務省,3,0000000000000614420,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000614420
アジア太平洋地域における情報通信分野の能力構築及び連携強化を通じた海外展開促進事業に係る事務の請負,総務省,3,0000000000000618323,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618323
08-0049-0225 デジタルインフラの海外展開促進に向けた方策等に関する調査研究,総務省,3,0000000000000618734,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618734
08-0049-0228 JICTのガバナンス強化・海外展開支援強化等に向けたファンドのガバナンスの仕組み・リスクマネー供給に係る調査研究,総務省,3,0000000000000619206,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619206
令和８年度米国・ニューヨーク市場における日本産酒類海外展開実証調査業務の委託 一式,財務省,3,0000000000000619589,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619589
08-0049-0237 アゼルバイジャンにおける防災ICTシステムの海外展開に向けた簡易実証調査の請負,総務省,3,0000000000000622654,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000622654
グリーン・脱炭素（ＧＸ）分野におけるインフラシステム海外展開促進のための調査研究業務,国土交通省,3,,0,,,,過去実績なし。仕様書からの積算が必要,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115
