都道府県,市区町村,事業名,採択額_千円,区分,発注の見込み
宮城県,仙台市,地域と連携した地方への国内・国外誘客促進事業,863380,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
石川県,志賀町,「志賀町ブランド」共生型滞在・地域循環モデル構築プロジェクト,609400,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
石川県,,能登半島地震からの段階的な観光再興に向けた県内全域での誘客促進,334912,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
徳島県,,インバウンドを核とした徳島地域経済活性化事業,302000,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
大分県,別府市,大正時代に建築された「旧平尾邸」の利活用による情報発信拠点の整備事業,251460,ハード寄り（施設整備。当社の領域外の可能性が高い）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
群馬県,,選ばれる「ぐんまブランド」育成プロジェクト,243986,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
香川県,,インバウンド需要等を呼び込むための夜型観光コンテンツ事業,215295,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
大分県,由布市,道の駅ゆふいんのリニューアルによる地域の賑わい創出及び情報発信拠点の整備事業,209554,ハード寄り（施設整備。当社の領域外の可能性が高い）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
福島県,,福島県観光誘客促進プロジェクト,205442,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
兵庫県,姫路市,大阪・関西万博等を契機とするインバウンドを軸とした活力ある観光地域づくりの推進,147864,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
秋田県,,秋田の観光誘客再構築事業,145184,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
長崎県,,長崎県産品海外展開プロジェクト,143011,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
三重県,,インバウンド誘客強化事業,132521,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
栃木県,,とちぎの食を核としたブランディングによる誘客促進事業,126186,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
千葉県,,千葉県・市原市・木更津市・大多喜町が連携した芸術祭を契機とした観光振興事業,118900,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
静岡県,,「推し活」消費を中心とした誘客促進事業,118854,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
宮城県,,「観光地域づくり」を核としたみやぎ誘客推進プロジェクト,115240,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
宮崎県,,大規模国際イベント等を契機とした”ひなた（宮崎）”観光の推進,110290,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
兵庫県,豊岡市,豊岡ブランドの高付加価値化と地域経済循環最大化事業,100825,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
鳥取県,鳥取市,インバウンド誘致で切り拓く麒麟のまち圏域の未来創造事業,91534,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
長野県,長野市,インバウンド誘客・受入環境整備事業,87163,ハード寄り（施設整備。当社の領域外の可能性が高い）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
