組織,案件名,URL,階層,分類
県|北海道,日星外交関係樹立60周年記念イベント SJ60 結 -MUSUBI- 参加募集のご案内総合政策部国際課,https://www.pref.hokkaido.lg.jp/ss/tsk/267702.html,L1,海外展開
県|北海道,令和8年度「道市連携海外展開推進事業（デジタル技術を活用したグローバル市場開拓事業（インド市場））委託業務」に係るプロポーザルの実施について総合政策部国際課,https://www.pref.hokkaido.lg.jp/ss/tsk/261576.html,L1,海外展開
県|北海道,参加者募集のご案内「令和８年度リスク対応型輸出人材育成事業」 総合政策部国際課,https://www.pref.hokkaido.lg.jp/ss/tsk/265933.html,L1,海外展開
県|岩手県,「林野火災警報・注意報制度説明動画制作等広報業務」受託候補者選定委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1101182.html,L1,プロモーション
県|岩手県,「県内高校生に向けた農業大学校の教育高度化情報発信委託業務」に係る企画提案選考委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1100814.html,L1,プロモーション
県|岩手県,令和8年度県外復興情報発信番組制作業務に係る企画コンペの審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1100813.html,L1,プロモーション
県|岩手県,「女性の就業促進に向けた林業の魅力発信動画作成業務」に係る企画提案選考委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1100746.html,L1,プロモーション
県|岩手県,令和8年度食文化情報発信動画作成業務に係る企画提案選考委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1100515.html,L1,文化・芸術/プロモーション
県|岩手県,平泉「浄土」体感文化観光プログラム造成業務企画提案選考委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1100381.html,L1,文化・芸術/観光・誘客
県|岩手県,令和8年度「いわての森林づくり県民税情報発信業務」の企画提案選考結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1100364.html,L1,プロモーション
県|岩手県,令和8年度インバウンド受入態勢強化業務委託に係る企画提案審査の結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1100271.html,L1,海外展開
県|岩手県,「令和8年度県外向け広報（復興情報発信）に係る企画、媒体制作・媒体制作監理等業務」企画提案選考委員会による審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1099624.html,L1,プロモーション
県|岩手県,「令和8年度海業支援事業（海業広報戦略策定）業務」企画提案選考委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1099703.html,L1,プロモーション
県|岩手県,令和8年度「地域医療情報発信等業務委託」に係る業務提案の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1099315.html,L1,プロモーション
県|岩手県,令和8年度産地直売所の誘客力強化支援業務に係る企画提案選考委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1099293.html,L1,観光・誘客
県|岩手県,令和8年度いわて産地情報発信・PR業務に係る企画提案選考委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1099221.html,L1,プロモーション
県|岩手県,「県産養殖サーモンブランド化推進業務」の企画提案審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1099166.html,L1,工芸・地域産品/プロモーション
県|岩手県,令和8年度県産食材マッチング交流事業委託業務に係る企画提案選考委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1099148.html,L1,工芸・地域産品
県|岩手県,「令和8年度「介護の仕事」魅力発信事業業務」に係る企画提案の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1099124.html,L1,プロモーション
県|岩手県,令和8年度いわて地域資源活用価値創出人材育成研修業務に係る企画提案選考委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1099110.html,L1,工芸・地域産品
県|岩手県,「令和8年度「SIAL Paris 2026 ジャパンパビリオン」出展支援業務」企画提案審査委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1099826.html,L1,展示会・出展
県|岩手県,令和8年度いわての文化魅力映像コンテスト企画運営業務企画提案選考委員会による審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1074599.html,L1,文化・芸術/プロモーション
県|岩手県,令和8年度観光業魅力向上推進業務に係る企画提案審査の結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1098815.html,L1,観光・誘客/プロモーション
県|岩手県,「連携協定を活用した観光振興プロモーション業務」委託に係る企画提案審査の結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1098653.html,L1,観光・誘客/プロモーション
県|岩手県,いわてさんりく仕事の情報発信業務に係る企画提案の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1098632.html,L1,プロモーション
県|岩手県,令和8年度「いわてIT企業ガイダンス」SNS広報業務に係る企画提案の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1098510.html,L1,プロモーション
県|岩手県,令和8年度いわて地域資源活用・地域連携サポートセンター業務に係る企画提案選考委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1098336.html,L1,工芸・地域産品
県|岩手県,「令和8年度岩手県外国人介護人材受入支援研修等事業業務」に係る企画提案の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1098459.html,L1,海外展開
県|岩手県,「令和8年度岩手県外国人介護人材介護福祉士国家資格取得支援事業業務」に係る企画提案の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1097766.html,L1,海外展開
県|岩手県,「令和8年度県議会広報に係る企画、媒体制作・媒体制作監理等業務」企画提案選考委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1097517.html,L1,プロモーション
県|岩手県,「令和8年度県主催移住フェア企画運営業務」企画提案選考委員会の結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1097088.html,L1,展示会・出展
県|岩手県,「令和8年度若年者消費者トラブル広報事業業務」に係る企画提案の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1097030.html,L1,プロモーション
県|岩手県,世界に開かれた北上川バレー魅力発信動画制作・プロモーション業務に係る企画提案審査の結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1097054.html,L1,プロモーション
県|岩手県,三陸復興いわてまるごと首都圏プロモーション事業企画運営業務企画提案選考委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1097077.html,L1,プロモーション
県|岩手県,「令和8年度県内高等教育機関と連携した県内企業の魅力等を伝える講座に係る業務及び県内企業インターンシップ等促進事業に係る業務」企画提案審査委員会の結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1096987.html,L1,プロモーション
県|岩手県,「岩手県外国人材受入電話相談窓口運営等業務」企画提案審査委員会の結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1096349.html,L1,海外展開
県|岩手県,「令和8年度及び9年度岩手県広報誌(いわてグラフ)に係る企画、媒体制作・ 媒体制作監理等業務」企画提案選考委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1095572.html,L1,プロモーション
県|岩手県,「令和8年度県政広報（電波媒体等）に係る企画、媒体制作・媒体制作監理等業務」企画提案選考委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1095560.html,L1,プロモーション
県|岩手県,令和7年度白銀のひかり普及拡大PR等業務に係る企画提案選考委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1093835.html,L1,プロモーション
県|岩手県,いわて沿岸圏域“しごと”情報発信動画制作業務に係る企画提案の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1092698.html,L1,プロモーション
県|岩手県,「岩手県産木材を活用した庁内保育施設備品製作業務」に関する委託契約の締結について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1092626.html,L1,工芸・地域産品
県|岩手県,令和7年度「いわての森林づくり県民税情報発信業務」の企画提案選考結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1091891.html,L1,プロモーション
県|岩手県,平泉情報発信映像制作業務企画提案審査委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1091438.html,L1,文化・芸術/プロモーション
県|岩手県,令和7年度台湾現地PRイベント出展業務に係る企画提案審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1090466.html,L1,展示会・出展/プロモーション
県|岩手県,「タイFITフェア出展・運営」業務企画提案審査の結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1090394.html,L1,展示会・出展
県|岩手県,「FIT層の誘客促進に向けた観光コンテンツ造成事業」業務企画提案審査の結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1090389.html,L1,文化・芸術/観光・誘客
県|岩手県,「令和7年度林野火災復旧関連木材利用促進PR業務」の企画提案選考結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1090374.html,L1,プロモーション
県|岩手県,「令和8年度林野火災復旧関連木材利用促進PR業務」の企画提案選考結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1099015.html,L1,プロモーション
県|岩手県,令和7年度県外復興情報発信番組制作業務に係る企画コンペの審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1088194.html,L1,プロモーション
県|岩手県,「令和7年度県産木材利用促進PR業務」の企画提案選考結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1087957.html,L1,工芸・地域産品/プロモーション
県|岩手県,「令和8年度県産木材利用促進PR業務」の企画提案選考結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1099014.html,L1,工芸・地域産品/プロモーション
県|岩手県,タイ市場をターゲットとした魅力発信事業企画・運営等業務企画提案審査委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1087883.html,L1,プロモーション
県|岩手県,令和7年度県産食材マッチング交流事業委託業務に係る企画提案選考委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1086995.html,L1,工芸・地域産品
県|岩手県,平泉の文化遺産WEBサイト再構築業務技術的審査委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1086858.html,L1,文化・芸術
県|岩手県,「農山漁村体験受入体制強化に係る広域連携による教育旅行等受入体制の整備支援業務」企画提案選考委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1086558.html,L1,観光・誘客
県|岩手県,令和7年度「東京インターナショナル・ギフト・ショー出展支援企画運営業務」の企画提案審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1086475.html,L1,展示会・出展
県|岩手県,令和7年度いわて産地情報・PR業務に係る企画提案審査委員会の結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1086470.html,L1,プロモーション
県|岩手県,令和7年度県産農林水産物のレストランフェア等企画運営業務に係る企画提案選考委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1085878.html,L1,展示会・出展/工芸・地域産品
県|岩手県,令和7年度「地域医療情報発信等業務委託」に係る業務提案の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1085427.html,L1,プロモーション
県|岩手県,令和7年度盛岡広域くらしの魅力発信及び移住相談会企画運営業務企画提案審査の結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1085250.html,L1,プロモーション
県|岩手県,「県内高等教育機関と連携した県内企業の魅力等を伝える講座に係る業務」企画提案審査委員会の結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1085249.html,L1,プロモーション
県|岩手県,「連携協定を活用した三陸観光振興プロモーション業務」委託に係る企画提案審査の結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1084964.html,L1,観光・誘客/プロモーション
県|岩手県,令和7年度観光業魅力向上推進業務に係る企画提案審査の結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1084961.html,L1,観光・誘客/プロモーション
県|岩手県,令和7年度岩手県観光地点パラメータ調査業務に係る企画提案審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1084740.html,L1,観光・誘客
県|岩手県,「令和7年度おかえりプロモーション企画運営業務」企画提案審査委員会の結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1084589.html,L1,プロモーション
県|岩手県,JR大船渡線の利用促進に向けた魅力発信事業企画・運営等業務企画提案審査委員会の審査結果について,https://www.pref.iwate.jp/kensei/nyuusatsu/compe/kekka/1083471.html,L1,プロモーション
