組織,案件名,URL,階層
県|埼玉県,各種手続・入札,https://www.pref.saitama.lg.jp/kense/tetsuzuki/index.html,L1
県|埼玉県,埼玉県電子入札総合案内トップページ（システム入口）,https://www.pref.saitama.lg.jp/a0212/densinyusatsu/index.html,L1
県|埼玉県,電子入札を始めるための準備,https://www.pref.saitama.lg.jp/a0212/densinyusatsu/dounyu.html,L1
県|埼玉県,利用規約／電子入札運用基準／ウェブアクセシビリティ,https://www.pref.saitama.lg.jp/a0212/densinyusatsu/unyoukijun.html,L1
県|埼玉県,システムの操作（模擬入札/操作マニュアル）,https://www.pref.saitama.lg.jp/a0212/densinyusatsu/manual.html,L1
県|埼玉県,入札参加資格申請（工事等）,https://www.pref.saitama.lg.jp/a0212/nyushinkoujitop/index.html,L1
県|埼玉県,入札参加資格申請（物品等）,https://www.pref.saitama.lg.jp/a0212/nyushinbuppintop/index.html,L1
県|埼玉県,電子入札システムへログインした際に【サーバとの接続に失敗しました。】と表示される方へ（PDF）（別ウィンドウで開きます）,https://www.pref.saitama.lg.jp/documents/1694/local-network-access.pdf,L1
県|埼玉県,電子入札システムにおける代表者、住所等変更時の取扱いについて（PDF）（別ウィンドウで開きます）,https://www.pref.saitama.lg.jp/documents/1694/407361_3.pdf,L1
県|埼玉県,入札情報公開システム （別ウィンドウで開きます）,https://ebidjk2.ebid2.pref.saitama.lg.jp/koukai/do/KF000ShowAction,L1
県|埼玉県,競争入札参加資格申請受付システム （別ウィンドウで開きます）,https://ebidjk2.ebid2.pref.saitama.lg.jp/uketsuke/UF000Show.do,L1
県|埼玉県,電子入札システム （別ウィンドウで開きます）,https://ebidjn2.ebid2.pref.saitama.lg.jp/CALS/Accepter/,L1
県|埼玉県,委託訓練最新の募集,https://www.pref.saitama.lg.jp/b0810/itaku-new.html,L1
県|埼玉県,金融経済講演会「先の見えない時代を生き抜くために！みんなで支えるこどもの教育と家計の話」の参加者を募集します（別ウィンドウで開きます）,https://www.pref.saitama.lg.jp/b0304/houdou-oshirase/kouenkai20260926.html,L1
県|埼玉県,物品等競争入札参加資格審査【変更（随時）】,https://www.pref.saitama.lg.jp/a0212/buppin0506/zuizihenkou2.html,L2
県|埼玉県,電子入札システムにおける代表者、住所等変更時の取扱いについて（PDF：100KB）,https://www.pref.saitama.lg.jp/documents/24918/407361_3.pdf,L2
県|埼玉県,埼玉県の電子入札運用基準,https://www.pref.saitama.lg.jp/a0212/densinyusatsu/unyoukijun.html,L2
県|埼玉県,工事等の入札参加資格申請についてはこちらから,https://www.pref.saitama.lg.jp/a0212/nyushinkoujitop/index.html,L2
県|埼玉県,物品等の入札参加資格申請についてはこちらから,https://www.pref.saitama.lg.jp/a0212/nyushinbuppintop/index.html,L2
県|香川県,「四国の新幹線」を対象とするケーススタディの公示（調査受託事業者の公募）の開始について,https://www.pref.kagawa.lg.jp/kotsu/tetsudo/casestudy0807.html,L1
県|香川県,香川県物価高騰等に伴う公共交通利便性向上等支援事業費補助金について（4次募集・先着順）,https://www.pref.kagawa.lg.jp/kotsu/kotsu/topics/r7_6ribensei.html,L1
県|香川県,香川県地域公共交通計画（素案）のパブリック・コメント（意見公募）実施結果,https://www.pref.kagawa.lg.jp/kotsu/kotsukeikaku/publiccomment_kekka.html,L1
県|香川県,瀬戸内国際芸術祭2028作品公募現地見学会を実施します,https://www.pref.kagawa.lg.jp/setouchi/20260827pr.html,L1
