案件名,URL
2026.08.28委託等 GREEN×EXPO 2027メディアセンター関連業務委託の公募型プロポーザルについて,https://expo2027yokohama.or.jp/contract/detail/20260828-001324.html
2026.08.28委託等 ２０２７年国際園芸博覧会 会場周辺警備業務について,https://expo2027yokohama.or.jp/contract/detail/20260828-001322.html
2026.08.27委託等 ２０２７年国際園芸博覧会 主催者催事「おまつり歳時記プロジェクト（仮）」にかかる実施計画作成業務委託の公募型プロポーザルについて,https://expo2027yokohama.or.jp/contract/detail/20260827-001348.html
2026.08.27委託等 【更新】【最優秀提案事業者決定】２０２７年国際園芸博覧会賓客接遇業務委託の公募型プロポーザルについて,https://expo2027yokohama.or.jp/contract/detail/20260827-000734.html
2026.08.25委託等 2027年国際園芸博覧会 損害保険付保公募について,https://expo2027yokohama.or.jp/contract/detail/20260825-001336.html
2026.08.24委託等 ２０２７年国際園芸博覧会 屋内出展施設監視カメラ設置業務の一般競争入札について,https://expo2027yokohama.or.jp/contract/detail/20260824-001328.html
2026.08.24委託等 ２０２７年国際園芸博覧会 公式ガイドブック企画・編集・制作および出版業務委託の公募型プロポーザルについて,https://expo2027yokohama.or.jp/contract/detail/20260824-001335.html
2026.08.24委託等 【更新】【質問回答】2026年度 国際園芸博覧会に係る環境影響評価支援業務委託の一般競争入札について,https://expo2027yokohama.or.jp/contract/detail/20260824-001286.html
2026.08.21委託等 屋内出展施設運営スタッフユニフォーム制作業務委託の一般競争入札について,https://expo2027yokohama.or.jp/contract/detail/20260821-001325.html
2026.08.18委託等 【入札結果】2027年国際園芸博覧会 屋内出展施設におけるパーテーション設置業務の一般競争入札について,https://expo2027yokohama.or.jp/contract/detail/20260818-001136.html
2026.08.17委託等 ２０２７年国際園芸博覧会の植物サイン作成・設置・管理業務委託の一般競争入札について,https://expo2027yokohama.or.jp/contract/detail/20260817-001320.html
2026.08.07委託等 2026年度「公益社団法人２０２７年国際園芸博覧会協会」が主催する「テーマフォーラム」の企画・実施運営・情報発信等に係る業務委託の公募型プロポーザルについて,https://expo2027yokohama.or.jp/contract/detail/20260807-001304.html
2026.08.03委託等 ２０２７年国際園芸博覧会 医療救護施設運営業務委託の公募型プロポーザルについて,https://expo2027yokohama.or.jp/contract/detail/20260803-001295.html
2026.07.31委託等 ２０２７年国際園芸博覧会クラフト館西側スペース管理・運営室運営業務委託の公募型プロポーザルについて,https://expo2027yokohama.or.jp/contract/detail/20260731-001291.html
2026.07.28委託等 【更新】【質問回答】２０２７年国際園芸博覧会 スマートフォン等調達及び通信サービス提供業務契約の一般競争入札について,https://expo2027yokohama.or.jp/contract/detail/20260728-001264.html
2026.07.23委託等 ２０２７年国際園芸博覧会用パラソル等の賃貸借の一般競争入札について,https://expo2027yokohama.or.jp/contract/detail/20260723-001275.html
2026.07.23委託等 ２０２７年国際園芸博覧会用ベンチ等の賃貸借の一般競争入札について,https://expo2027yokohama.or.jp/contract/detail/20260723-001274.html
2026.07.23委託等 ２０２７年国際園芸博覧会用日除け等の賃貸借の一般競争入札について,https://expo2027yokohama.or.jp/contract/detail/20260723-001273.html
"2026.07.22委託等 ２０２７年国際園芸博覧会（ターミナル・北工区）で使用する電力 約4,656,000kWhの供給契約に関する一般競争入札について（2026年７月22日更新）",https://expo2027yokohama.or.jp/contract/detail/20260722-001219.html
2026.07.17委託等 ２０２７年国際園芸博覧会の広報・プロモーションおよび入場券販売促進にかかる企画・実施等業務委託の 公募型プロポーザルについて,https://expo2027yokohama.or.jp/contract/detail/20260717-001250.html
2026.05.22工事 会場サイン工事に関する入札公告について（2026年5月22日更新）,https://expo2027yokohama.or.jp/contract/detail/20260522-000480.html
2025.09.05工事 【入札・開札結果】 政府出展屋外工事に関する入札公告について （2025 年９月５日）,https://expo2027yokohama.or.jp/contract/detail/20250905-000289.html
2025.09.05工事 【入札・開札結果】 造園工事に関する入札公告について（2025年９ 月５日）,https://expo2027yokohama.or.jp/contract/detail/20250905-000288.html
2025.03.21工事 【入札・開札結果】会場整備工事に関する入札公告について,https://expo2027yokohama.or.jp/contract/detail/20250321-000287.html
2024.08.09工事 【入札・開札結果】会場整備工事に関する入札公告について,https://expo2027yokohama.or.jp/contract/detail/20240809-000285.html
