案件名,台帳の締切,ページ上の最早日,種別,URL
海外OTA等を活用したインバウンド誘客プロモーション事業（欧米豪市場向け）,2026-06-15,2026-06-03,参加表明,https://www.pref.miyazaki.lg.jp/kanko-suishin/kense/chotatsu/20260512091430.html
海外市場適合クリエイティブ制作等業務,2026-07-03,2026-09-16,提案書,https://www.smrj.go.jp/procurement/bid/list/2026/index.html
GREEN×EXPO 2027来場者向け展示物（資源循環の可視化・カーボンリサイクル）企画・制作業務委託,2026-07-06,2026-06-15,参加表明,https://www.city.yokohama.lg.jp/business/nyusatsu/kakukukyoku/2026/itaku/green/greenexpo2027junkan.html
GREEN×EXPO 2027来場者向け展示物 企画・制作業務委託,2026-07-06,2026-06-15,参加表明,https://www.city.yokohama.lg.jp/business/nyusatsu/kakukukyoku/2026/itaku/green/greenexpo2027junkan.html
「第３１回機械要素技術展」出展に係る装飾委託業務,2026-05-12,2026-04-30,提案書,https://yipf.or.jp/proposal/r8_kikaiyouso/?e=contents
「2025NEW環境展」出展に係る装飾委託業務,2026-04-13,2026-04-06,提案書,https://yipf.or.jp/proposal/exhibitionr8_kankyo/?e=contents
「H2&FC EXPO【秋】／BATTERY JAPAN【秋】」出展に係る装飾業務,2026-07-14,2026-07-07,提案書,https://yipf.or.jp/proposal/h2battery2026-decoration_proposal/?e=contents
「第４回製造業カーボンニュートラル展」出展に係る装飾委託業務,2025-11-21,2025-11-14,提案書,https://yipf.or.jp/proposal/r7_seizou_cn/?e=contents
「第60回 スーパーマーケット・トレードショー2026」出展に係る装飾委託業務,2025-10-15,2025-10-08,提案書,https://yipf.or.jp/proposal/r7bukka_smts2026/?e=contents
「第３回九州機械要素技術展」出展に係る装飾委託業務,2025-09-19,2025-09-12,提案書,https://yipf.or.jp/proposal/r7_kyushukikaiyouso/?e=contents
「Ｈ２＆ＦＣＥＸＰＯ【秋】２０２５」出展に係る装飾委託業務,2025-07-18,2025-07-11,提案書,https://yipf.or.jp/proposal/h2fcexpo2025-decoration_proposal/?e=contents
「仙台ゆかりの漫画・アニメを活用した海外出展業務」に係る公募型プロポーザルの実施について,2026-05-14,2026-05-12,提案書,https://www.city.sendai.jp/contentsoushutsu/animation_manga/r8proposal.html
令和8年那覇市戦没者追悼式（第31回なぐやけの碑慰霊祭） 会場設営等業務委託に係る制限付き一般競争入札の実施,2026-08-14,2026-08-12,参加表明,https://www.city.naha.okinawa.jp/business/touroku/1003844/1010980/1012471.html
2027年国際園芸博覧会（GREEN×EXPO2027）鹿児島県屋内出展業務委託の企画提案を募集します,2026-08-05,2026-07-21,参加表明,https://www.pref.kagoshima.jp/ag06/hanakaju/greenexpo.html
「第27回全国農業担い手サミットinかごしま」会場設営等業務委託公募型プロポーザルの実施について,2026-02-27,2025-02-27,参加表明,https://www.pref.kagoshima.jp/ag05/summitnyuusatsukaijou.html
【受託候補者を選定しました】「東北の県庁所在地六市連携によるインバウンド向け情報発信業務」の事業者を募集します,2026-05-21,2026-05-19,参加表明,https://www.city.sendai.jp/tohokurenke-jigyo/tohokurokushi/tokimeku_2026.html
令和８年度外国料理店・食材店との連携による外国人市民向け情報発信事業務委託,2026-08-14,2026-07-28,参加表明,https://www.city.chiba.jp/shimin/shimin/kokusai/2026_kaigairyouri.html
PGI第7回BBCトーナメント競走集客イベント及び広告宣伝等運営管理業務の事業者募集について,2025-10-30,2025-10-27,提案書,https://www.city.amagasaki.hyogo.jp/sangyo/zigyousya/co_bosyu/1041991.html
国際女性デーイベント「BE YOU in KOBE」企画運営業務【事業者募集】,2026-08-05,2026-08-26,提案書,https://www.city.kobe.lg.jp/a38629/sdgs/jigyoussya_bosyu_beyou.html
【審査結果】令和８年度大分県介護の魅力発信事業（イベント開催）に係る企画提案の公募について,2026-07-17,2026-07-01,提案書,https://www.pref.oita.jp/site/790/2026-kaigoevent.html
令和8年度「えひめ防災フェア運営業務」に係る企画提案の募集について,2026-08-28,2026-08-19,参加表明,https://www.pref.ehime.jp/site/nyusatsu/154775.html
鹿児島県インバウンドプロモーション動画制作業務委託に係る企画提案について,2027-03-26,2026-06-29,参加表明,https://www.pref.kagoshima.jp/af08/kaigaiyuchi/dougaseisaku.html
国内在住外国人等インフルエンサーを活用した欧米豪市場向け情報発信業務委託に係る企画提案について,2026-03-20,2025-05-19,参加表明,https://www.pref.kagoshima.jp/af08/kaigaiyuchi/influencer/001.html
クラフト館西側スペース管理・運営室運営業務委託,2026-08-10,2026-07-31,参加表明,https://expo2027yokohama.or.jp/contract/detail/20260731-001291.html
主催者催事「おまつり歳時記プロジェクト（仮）」実施計画作成業務委託,2026-09-07,2026-08-27,参加表明,https://expo2027yokohama.or.jp/contract/detail/20260827-001348.html
テーマフォーラム 企画・実施運営・情報発信等に係る業務委託,2026-08-19,2026-08-07,参加表明,https://expo2027yokohama.or.jp/contract/detail/20260807-001304.html
広報・プロモーションおよび入場券販売促進にかかる企画・実施等業務委託,2026-07-28,2025-07-28,参加表明,https://expo2027yokohama.or.jp/contract/detail/20260717-001250.html
