団体,案件名,URL,階層
文化庁（国民文化祭・分野別フェスティバル等）,「スポーツ文化ツーリズムアワード 2026」公募要領,https://www.bunka.go.jp/shinsei_boshu/kobo/94375201.html,L1
文化庁（国民文化祭・分野別フェスティバル等）,令和8年度緊急的文化遺産保護国際貢献事業（専門家交流）実施委託業務の募集,https://www.bunka.go.jp/shinsei_boshu/kobo/94413301.html,L1
文化庁（国民文化祭・分野別フェスティバル等）,令和8年度無形文化遺産保護条約に係る国際動向調査事業委託（総合評価落札方式）,https://www.bunka.go.jp/shinsei_boshu/kobo/94419801.html,L1
文化庁（国民文化祭・分野別フェスティバル等）,第42回国民文化祭分野別フェスティバルに係る企画・運営業務の公募,https://www.bunka.go.jp/shinsei_boshu/kobo/94393701.html,L1
文化庁（国民文化祭・分野別フェスティバル等）,令和8年度「宗教法人格の不正利用対策のための実態把握事業（不正利用対策のためのモニタリング調査等）」業務（総合評価落札方式）,https://www.bunka.go.jp/shinsei_boshu/kobo/94392901.html,L1
文化庁（国民文化祭・分野別フェスティバル等）,過去の公募情報,https://www.bunka.go.jp/shinsei_boshu/kobo/kako_kobo.html,L1
文化庁（国民文化祭・分野別フェスティバル等）,スポーツ文化ツーリズムアワード2026公募要領,https://www.bunka.go.jp/shinsei_boshu/kobo/pdf/94375201_01.pdf,L2
文化庁（国民文化祭・分野別フェスティバル等）,企画提案書様式,https://www.bunka.go.jp/shinsei_boshu/kobo/word/94413301_01.doc,L2
文化庁（国民文化祭・分野別フェスティバル等）,資料一式：令和8年度無形文化遺産保護条約に係る国際動向調査事業委託,https://www.bunka.go.jp/shinsei_boshu/kobo/zip/94419801_01.zip,L2
文化庁（国民文化祭・分野別フェスティバル等）,入札説明書（別紙1を含む）,https://www.bunka.go.jp/shinsei_boshu/kobo/pdf/94419801_01.pdf,L2
文化庁（国民文化祭・分野別フェスティバル等）,別紙2 入札書（様式）・委任状（様式）,https://www.bunka.go.jp/shinsei_boshu/kobo/word/94419801_02.docx,L2
文化庁（国民文化祭・分野別フェスティバル等）,別冊 無形文化遺産保護条約に係る国際動向調査事業委託実施要項,https://www.bunka.go.jp/shinsei_boshu/kobo/pdf/94419801_05.pdf,L2
文化庁（国民文化祭・分野別フェスティバル等）,別冊 文化庁委託業務実施要領,https://www.bunka.go.jp/shinsei_boshu/kobo/pdf/94419801_06.pdf,L2
文化庁（国民文化祭・分野別フェスティバル等）,公募要領（含む業務内容）,https://www.bunka.go.jp/shinsei_boshu/kobo/pdf/94393701_01.pdf,L2
文化庁（国民文化祭・分野別フェスティバル等）,（様式2）業務経費内訳書（※令和9年度分不（非）課税対象経費に係る計算式修正版）,https://www.bunka.go.jp/shinsei_boshu/kobo/excel/94402201_01.xlsx,L2
文化庁（国民文化祭・分野別フェスティバル等）,事業者の選定（公募型プロポーザル）,https://www.city.tsuyama.lg.jp/article?articleId=66ff14492b05de2732753bc9,L2
東京都 生活文化スポーツ局（第42回国民文化祭・令和9年度）,入札・契約制度,https://www.metro.tokyo.lg.jp/search?keyword=&amp;category=163914,L1
東京都福祉局（第27回全国障害者芸術・文化祭・令和9年度）,入札・契約制度,https://www.metro.tokyo.lg.jp/search?keyword=&amp;category=163914,L1
東京都福祉局（第27回全国障害者芸術・文化祭・令和9年度）,組織・業務案内,https://www.fukushi.metro.tokyo.lg.jp/about/soshiki,L1
東京都福祉局（第27回全国障害者芸術・文化祭・令和9年度）,「板橋区栄町における社会福祉施設建替促進施設」の利用事業者を公募します,https://www.fukushi.metro.tokyo.lg.jp/kiban/jigyosha/itabashitatekaesokushin,L2
東京都福祉局（第27回全国障害者芸術・文化祭・令和9年度）,「都有地を活用した社会福祉施設建替促進施設」の利用事業者を公募します,https://www.fukushi.metro.tokyo.lg.jp/kiban/jigyosha/kiyosetatekaesokushin_shougai3,L2
東京都福祉局（第27回全国障害者芸術・文化祭・令和9年度）,「都有地を活用した社会福祉施設の建替え促進事業」― 第2期利用事業者の公募 ―（終了しました）,https://www.fukushi.metro.tokyo.lg.jp/kiban/jigyosha/kiyosetatekaesokushin,L2
東京都福祉局（第27回全国障害者芸術・文化祭・令和9年度）,令和5年度精神障害者地域移行体制整備事業委託事業者の公募について,https://www.fukushi.metro.tokyo.lg.jp/shougai/jigyo/r5chiikiikou_koubo,L2
東京都福祉局（第27回全国障害者芸術・文化祭・令和9年度）,令和4年度精神障害者地域移行体制整備事業委託事業者の公募について,https://www.fukushi.metro.tokyo.lg.jp/shougai/jigyo/r4chiikiikou_koubo,L2
東京都福祉局（第27回全国障害者芸術・文化祭・令和9年度）,令和3年度精神障害者地域移行体制整備事業委託事業者の公募について,https://www.fukushi.metro.tokyo.lg.jp/shougai/jigyo/r3chikiikou,L2
東京都福祉局（第27回全国障害者芸術・文化祭・令和9年度）,令和８年度障害者芸術活動基盤整備事業実施団体の公募,https://www.fukushi.metro.tokyo.lg.jp/shougai/jigyo/geijutsu,L2
東京都福祉局（第27回全国障害者芸術・文化祭・令和9年度）,令和2年度精神障害者地域移行体制整備支援事業委託事業者の公募について,https://www.fukushi.metro.tokyo.lg.jp/shougai/jigyo/r4chiikiikou_koubo_ng,L2
東京都福祉局（第27回全国障害者芸術・文化祭・令和9年度）,令和5年度精神障害者地域移行体制整備事業委託事業者の公募についてトップ,https://www.fukushi.metro.tokyo.lg.jp/shougai/jigyo/r5chiikiikou_koubo,L2
東京都福祉局（第27回全国障害者芸術・文化祭・令和9年度）,令和5年度グループホーム活用型ショートステイ事業委託事業者の公募,https://www.fukushi.metro.tokyo.lg.jp/shougai/jigyo/r5chiikiikou_koubo/r5ghss,L2
東京都福祉局（第27回全国障害者芸術・文化祭・令和9年度）,令和5年度ピアサポーター活用アドバイザー事業委託事業者（精神障害者地域移行促進事業）の公募,https://www.fukushi.metro.tokyo.lg.jp/shougai/jigyo/r5chiikiikou_koubo/r5chiikiikou_peer,L2
東京都福祉局（第27回全国障害者芸術・文化祭・令和9年度）,令和5年度精神障害者地域移行促進事業委託事業者の公募,https://www.fukushi.metro.tokyo.lg.jp/shougai/jigyo/r5chiikiikou_koubo/r5chiikiikou,L2
