制度ID,制度名,所管,種別,当社の立ち位置,補助率,上限額,公募開始,締切,前段関門,次回見込み,状態,最終確認日,根拠URL,備考
jizokuka-ippan-20,小規模事業者持続化補助金＜一般型・通常枠＞第20回,中小企業庁,補助金,支援側（産地・事業者に使わせる）,2/3（賃金引上げ特例のうち赤字事業者は3/4）,基本50万円＋インボイス特例50万円＋賃金引上げ特例150万円（両特例は200万円上乗せ）＝最大250万円,2026-11-05,2026-12-15 17:00,事業支援計画書（様式4）の発行受付締切 2026-12-04（商工会・商工会議所）。ここが実質の期限,,現存,2026-09-15,https://r6.jizokukahojokin.info/,公募要領第8版(2026-07-21改版) p.7-8 で補助率・上限を直接確認。第17回以降は名称が＜一般型・通常枠＞
jizokuka-kyodo-3,小規模事業者持続化補助金＜共同・協業型＞第3回,中小企業庁,補助金,申請者（当社が支援機関として申請）,要確認,"上限3,000万円（参画10者以上）／2,000万円（5〜9者）",,2026-09-30 17:00,GビズIDプライム（取得済）,,現存,2026-08-31,https://r6.kyodokyogyohojokin.info/,台帳にも登録済み。【生島様 2026-08-31：企画を立てて申請したい】
monodukuri-global,ものづくり補助金 グローバル枠,中小企業庁,補助金,支援側（産地・事業者に使わせる）,中小1/2・小規模2/3,"3,000万円（大幅賃上げ特例で4,000万円）",,,GビズIDプライム・電子申請,2027-02 頃【推定】,現存,2026-09-15,https://portal.monodukuri-hojo.jp/,**2026-09-15まで台帳・巡回先に1件も無かった。**海外市場開拓類型は最終販売先の1/2以上が海外顧客。2026-09-15に総合サイトを確認：23次締切まで進行（採択結果公表済）。**24次以降の日程は未公表**。補助率・上限は二次情報（補助金ポータル等）による。**公募要領での確認は未了**
dentou-kougei,伝統的工芸品産業支援補助金,経済産業省,補助金,支援側／共同申請,1/2〜2/3（区分による）,"原則2,000万円",,2026-01-29（令和8年度分・終了）,,2027-01 頃【推定】,現存,2026-09-15,https://www.meti.go.jp/policy/mono_info_service/mono/nichiyo-densan/,国内外の大消費地等での展示会出展など需要開拓事業が対象。台帳に1件あり（締切超過）。2026-09-15に経産省ページを確認：令和8年度は災害復興事業が5/29締切で掲載。**次年度の一般公募の時期は未公表。1月頃という見込みは推定である**
takumi-next,TAKUMI NEXT（日本の食品等の海外展開支援）,ジェトロ（日本貿易振興機構）,無償支援,支援側（産地に周知）,参加費無料,—,,2026-04-24,,2027-03〜04 頃【推定】,現存,2026-09-15,https://www.jetro.go.jp/services/takumi_next/,**workflow に名前だけあり、制度として持っていなかった。**2026-09-15にジェトロのページを確認：「今年度の募集は終了しました」。締切は2026-04-24。参加費無料。次回に備えて産地へ事前周知する価値がある
shinyushutsu-handson,新輸出大国コンソーシアム パートナーによるハンズオン支援業務（業務委託先の公募）,ジェトロ 海外展開支援部 中堅中小企業課,委託公募,受託者,—,1委託620万円（税別）上限・出来高精算＋出張費実費。採択240名程度,2026-12下旬【推定】,2027-01-16【推定】,公募説明書の交付申請（odb-hands-on@jetro.go.jp へメール）,2026-12下旬,現存,2026-09-08,https://www.jetro.go.jp/procurement/publicoffer/odb/a01c8f0947d6e641.html,**等級指定なし。D等級で届く。**台帳の「公告待ち」にも登録済み
smrj-handson,中小機構 海外展開ハンズオン支援,中小機構,無償支援,支援側（自治体・支援機関も対象）,無料,—,随時,随時,,随時,現存,2026-09-15,https://www.smrj.go.jp/,**当初書いたURL（/sme/international/）は404だった。自分で確かめずに書いていた。**2026-09-15に404を実測し、トップへ差し替えた。**制度の入口URLは未特定。無料・随時・支援機関（自治体）も対象という内容は二次情報であり、一次資料で未確認**
jfc-kaigai,日本政策金融公庫 海外展開・事業再編資金,日本政策金融公庫,融資,支援側（産地・事業者に使わせる）,—,"融資限度額 7,200万円",随時,随時,,随時,現存,2026-09-15,https://www.jfc.go.jp/n/finance/search/,"**当初書いたURL（06_kaigaitenkai_m.html）は404だった。自分で確かめずに書いていた。**2026-09-15に404を実測し、融資制度の検索ページへ差し替えた。**融資限度額7,200万円は二次情報。一次資料で未確認。**融資は「補助金・公募」の枠から外れるため母集団に入っていなかった"
japan-brand-ikusei,JAPANブランド育成支援等事業,中小機構,補助金,—,—,—,,,,,廃止（ものづくり補助金グローバル枠へ統合）,2026-09-15,https://portal.monodukuri-hojo.jp/,**現存しない。2026-09-15 に生島様のご指摘で判明。**workflow/report-template.md に「締切2026年10月2日」という架空の締切が残っていた。**廃止した制度も行として残す。消すと、また誰かが善意で書き戻す**
chiiki-mirai,地域未来交付金（地域未来推進型ほか）,内閣官房 地域未来戦略本部事務局／内閣府 地方創生推進事務局,交付金（財源）,受託者（自治体が発注する委託の原資）,1/2,都道府県15億円/年度・市区町村10億円/年度（自治体への交付上限）,,,,次回募集は未公表,現存,2026-09-15,https://www.chisou.go.jp/sousei/about/chiikimiraikoufukin/index.html,"当社が申請するものではない。R8交付決定3,434事業・1,741億円。抽出表 data/chiiki_mirai_r8.csv"
