domain,org,pref,category,source_directory,url,procurement_url,tier,frequency,last_checked,status,note
chusho.meti.go.jp,中小企業庁,,中央省庁,manual,https://www.chusho.meti.go.jp/,https://www.chusho.meti.go.jp/koukai/index.html,tier_a,every_run,,確認済み,ブラウザ相当UA必須
meti.go.jp,経済産業省,,中央省庁,manual,https://www.meti.go.jp/,https://www.meti.go.jp/information/publicoffer/index.html,tier_a,every_run,,確認済み,受注実績あり。落札金額をExcelで公表
kyokai.kougeihin.jp,一般財団法人伝統的工芸品産業振興協会,,主戦場直結,manual,https://kyokai.kougeihin.jp/,https://kyokai.kougeihin.jp/association_cat/%E5%85%AC%E5%8B%9F%E5%85%AC%E5%91%8A/,tier_a,every_run,,確認済み,主力事業と最も一致。公告時期は3月中旬〜7月上旬に散る
clair.or.jp,一般財団法人自治体国際化協会（CLAIR）,,国の外郭団体,manual,https://www.clair.or.jp/,https://www.clair.or.jp/index-news.html,tier_a,every_run,,確認済み,調達専用ページ無し。新着情報に混ざる
vipo.or.jp,特定非営利活動法人映像産業振興機構（VIPO）,,国の外郭団体,manual,https://www.vipo.or.jp/,https://www.vipo.or.jp/news/66522/,tier_a,every_run,2026-08-20,未確認,受注実績あり（J-LOP 2016-2018）
smrj.go.jp,独立行政法人中小企業基盤整備機構,,国の外郭団体,manual,https://www.smrj.go.jp/,https://www.smrj.go.jp/procurement/solicitation/index.html,tier_a,every_run,,確認済み,
jpf.go.jp,独立行政法人国際交流基金,,国の外郭団体,manual,https://www.jpf.go.jp/,https://www.jpf.go.jp/j/about/bid/,tier_a,every_run,,確認済み,落札者・落札金額・予定価格・落札率まで公表
jnto.go.jp,独立行政法人国際観光振興機構（JNTO）,,国の外郭団体,manual,https://www.jnto.go.jp/,https://www.jnto.go.jp/about-us/procurement/opencounter/,tier_a,every_run,,確認済み,訪日プロモーション
jetro.go.jp,独立行政法人日本貿易振興機構（JETRO）,,国の外郭団体,manual,https://www.jetro.go.jp/,https://www.jetro.go.jp/procurement/,tier_a,every_run,,確認済み,入札と公募がページ分離。両方見ること
chugoku.meti.go.jp,中国経済産業局,,地方支分部局,government,https://www.chugoku.meti.go.jp/,https://www.chugoku.meti.go.jp/koubo.html,tier_a,every_run,2026-08-20,確認済み,競争入札はGEPS/調達ポータルのみで公告される場合がある。局サイトと調達ポータルの両方を見る
chubu.meti.go.jp,中部経済産業局,,地方支分部局,government,https://www.chubu.meti.go.jp/,https://www.chubu.meti.go.jp/nyuusatsu_kobo/nyuusatsu.html,tier_a,every_run,2026-08-20,確認済み,競争入札はGEPS/調達ポータルのみで公告される場合がある。局サイトと調達ポータルの両方を見る
kyushu.meti.go.jp,九州経済産業局,,地方支分部局,government,https://www.kyushu.meti.go.jp/,https://www.kyushu.meti.go.jp/under/chotatu/chotatu.html,tier_a,every_run,2026-08-20,確認済み,競争入札の公告はGEPSのみ。局サイトは一覧のみなので調達ポータルも併せて見る
ogb.go.jp,内閣府沖縄総合事務局,,地方支分部局,government,https://www.ogb.go.jp/,https://www.ogb.go.jp/soumu/soumu_tyouta,tier_a,every_run,2026-08-20,確認済み,競争入札はGEPS/調達ポータルのみで公告される場合がある。局サイトと調達ポータルの両方を見る
shikoku.meti.go.jp,四国経済産業局,,地方支分部局,government,https://www.shikoku.meti.go.jp/,https://www.shikoku.meti.go.jp/02_soshikiinfos/04_kaikei/choutatsu_info/choutatsu_info.html,tier_a,every_run,2026-08-20,確認済み,競争入札はGEPS/調達ポータルのみで公告される場合がある。局サイトと調達ポータルの両方を見る
tohoku.meti.go.jp,東北経済産業局,,地方支分部局,government,https://www.tohoku.meti.go.jp/,https://www.tohoku.meti.go.jp/kikaku/sangyokyosoryoku/index_sangyokyosoryoku.html,tier_a,every_run,2026-08-21,要手動確認（中身が薄い）,競争入札はGEPS/調達ポータルのみで公告される場合がある。局サイトと調達ポータルの両方を見る
kansai.meti.go.jp,近畿経済産業局,,地方支分部局,government,https://www.kansai.meti.go.jp/,https://www.kansai.meti.go.jp/8kaikei/nyusatsujoho/ichiran.html,tier_a,every_run,2026-08-20,確認済み,競争入札はGEPS/調達ポータルのみで公告される場合がある。局サイトと調達ポータルの両方を見る
kanto.meti.go.jp,関東経済産業局,,地方支分部局,government,https://www.kanto.meti.go.jp/,https://www.kanto.meti.go.jp/chotatsu/chotatsu/index.html,tier_a,every_run,2026-08-20,確認済み,競争入札はGEPS/調達ポータルのみで公告される場合がある。局サイトと調達ポータルの両方を見る
pref.iwate.jp,岩手県,岩手,自治体本体,manual,https://www.pref.iwate.jp/,https://www.pref.iwate.jp/kensei/nyuusatsu/sonota/index.html,tier_a,every_run,2026-08-20,未確認,受注実績あり（仏国テスト販売 2019）
metro.tokyo.lg.jp,東京都,東京,自治体本体,manual,https://www.metro.tokyo.lg.jp/,https://www.metro.tokyo.lg.jp/tosei/zaise/keiyaku?utm_source=top&amp;utm_medium=1.5_navi&amp;utm_campaign=20250829,tier_a,every_run,2026-08-20,未確認,受注実績あり（東京2020仏国プロモーション）
pref.kumamoto.jp,熊本県,熊本,自治体本体,manual,https://www.pref.kumamoto.jp/,,tier_a,every_run,2026-08-21,要手動確認（未発見）,受注実績あり（パリJAPAN EXPO 2016-2024）
