発注者,案件名,URL,状態,期限,関門
山口県産業技術センター系,【展示会出展：食品】SMTS2027出展企業募集（事業：中小企業物価高・関税対策支援事業販路開拓支援業務）について,https://yipf.or.jp/event/r8smts/?e=contents,日付不明,,
山口県産業技術センター系,【参加企業募集】株式会社大進本店との商談会について,https://yipf.or.jp/event/daishinhonten/?e=contents,日付不明,,
山口県産業技術センター系,SEMICON Taiwan 2026 小間装飾業務,https://yipf.or.jp/proposal/semicon-taiwan-2026-%e5%b0%8f%e9%96%93%e8%a3%85%e9%a3%be%e6%a5%ad%e5%8b%99/?e=contents,締切済,2026-07-03,参加表明
山口県産業技術センター系,「H2&FC EXPO【秋】／BATTERY JAPAN【秋】」出展に係る装飾業務,https://yipf.or.jp/proposal/h2battery2026-decoration_proposal/?e=contents,締切済,2026-07-07,提案書
山口県産業技術センター系,海外展示会及び海外バイヤー招聘事業による、海外展開支援補助業務,https://yipf.or.jp/proposal/%e6%b5%b7%e5%a4%96%e5%b1%95%e7%a4%ba%e4%bc%9a%e5%8f%8a%e3%81%b3%e6%b5%b7%e5%a4%96%e3%83%90%e3%82%a4%e3%83%a4%e3%83%bc%e6%8b%9b%e8%81%98%e4%ba%8b%e6%a5%ad%e3%81%ab%e3%82%88%e3%82%8b/?e=contents,締切済,2026-07-01,参加表明
山口県産業技術センター系,海外展示会<食品分野>及び海外バイヤー招聘事業による、海外展開支援補助業務,https://yipf.or.jp/proposal/%e6%b5%b7%e5%a4%96%e5%b1%95%e7%a4%ba%e4%bc%9a%e5%8f%8a%e3%81%b3%e6%b5%b7%e5%a4%96%e3%83%90%e3%82%a4%e3%83%a4%e3%83%bc%e6%8b%9b%e8%81%98%e4%ba%8b%e6%a5%ad%e3%81%ab%e3%82%88%e3%82%8b/?e=contents,締切済,2026-07-01,参加表明
山口県産業技術センター系,SEMICON Japan 2026 小間装飾業務,https://yipf.or.jp/proposal/semicon-japan-2026-%e5%b0%8f%e9%96%93%e8%a3%85%e9%a3%be%e6%a5%ad%e5%8b%99-%e3%83%97%e3%83%ad%e3%83%9d%e3%83%bc%e3%82%b6%e3%83%ab%e5%8b%9f%e9%9b%86/?e=contents,締切済,2026-06-26,参加表明
山口県産業技術センター系,「第３１回機械要素技術展」出展に係る装飾委託業務,https://yipf.or.jp/proposal/r8_kikaiyouso/?e=contents,締切済,2026-04-30,提案書
山口県産業技術センター系,「2025NEW環境展」出展に係る装飾委託業務,https://yipf.or.jp/proposal/exhibitionr8_kankyo/?e=contents,締切済,2026-04-06,提案書
山口県産業技術センター系,「第４回製造業カーボンニュートラル展」出展に係る装飾委託業務,https://yipf.or.jp/proposal/r7_seizou_cn/?e=contents,締切済,2025-11-14,提案書
山口県産業技術センター系,「第60回 スーパーマーケット・トレードショー2026」出展に係る装飾委託業務,https://yipf.or.jp/proposal/r7bukka_smts2026/?e=contents,締切済,2025-10-08,提案書
山口県産業技術センター系,「第３回九州機械要素技術展」出展に係る装飾委託業務,https://yipf.or.jp/proposal/r7_kyushukikaiyouso/?e=contents,締切済,2025-09-12,提案書
山口県産業技術センター系,SEMICON Japan 2025 小間装飾業務,https://yipf.or.jp/proposal/semicon-japan-2025-%e5%b0%8f%e9%96%93%e8%a3%85%e9%a3%be%e6%a5%ad%e5%8b%99-%e3%83%97%e3%83%ad%e3%83%9d%e3%83%bc%e3%82%b6%e3%83%ab%e5%8b%9f%e9%9b%86/?e=contents,締切済,2025-07-18,参加表明
山口県産業技術センター系,「Ｈ２＆ＦＣＥＸＰＯ【秋】２０２５」出展に係る装飾委託業務,https://yipf.or.jp/proposal/h2fcexpo2025-decoration_proposal/?e=contents,締切済,2025-07-11,提案書
公益財団法人京都産業21,【お知らせ】西日本合同広域商談会2027 参加発注企業の募集を開始しました,https://www.ki21.jp/matching/exhibition/shodankai/hacchu2027/,日付不明,,
公益財団法人京都産業21,-京都ビジネス交流フェア2027-「グローバルテクノロジー京都展」出展者募集,https://www.ki21.jp/informations/bp2027syutten/,日付不明,,
公益財団法人京都産業21,「IMTEX 2027」 KYOTOブース（インド・ベンガルール）出展者募集,https://www.ki21.jp/matching/exhibition/imtex2027/,募集中,2026-08-28,参加表明
公益財団法人京都産業21,第55回 国際ホテル・レストランショー KYOTOブース 共同出展企業募集,https://www.ki21.jp/matching/exhibition/hoteresu2027/,募集中,2026-08-31,参加表明
公益財団法人京都産業21,-京都ビジネス交流フェア2027-「グローバルテクノロジー京都展」開催業務に係る公募型プロポーザルの実施について終了,https://www.ki21.jp/informations/%e4%ba%ac%e9%83%bd%e3%83%93%e3%82%b8%e3%83%8d%e3%82%b9%e4%ba%a4%e6%b5%81%e3%83%95%e3%82%a7%e3%82%a22027/,締切済,2026-07-23,参加表明
公益財団法人京都産業21,"-京都ビジネス交流フェア2027-「グローバルテクノロジー京都展」開催業務に係る公募型プロポーザルの実施について<span class=""icon closed"">終了</span>",https://www.ki21.jp/informations/%e4%ba%ac%e9%83%bd%e3%83%93%e3%82%b8%e3%83%8d%e3%82%b9%e4%ba%a4%e6%b5%81%e3%83%95%e3%82%a7%e3%82%a22027/,締切済,2026-07-23,参加表明
