検出日,経路,検索語,関連度,一致語,調達案件番号,案件名,発注機関,所在地,公開開始日,URL,リンク種別
2026-08-21,調達ポータル,海外展開/海外/国際,4,海外展開/海外/国際,0000000000000549103,Beyond 5Gなどの移動通信システムの社会実装・海外展開を加速するためのビジネス展開志向型の知財・国際標準化戦略に関する調査等の請負,総務省,東京都,令和07年10月16日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000549103,直リンク
2026-08-21,調達ポータル,出展/プロモーション/展示会,4,展示会/出展/プロモーション/運営,0000000000000608220,米国・テキサス州における日本産酒類のプロモーション及び展示会出展に係る運営業務委託,財務省,東京都,令和08年06月24日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000608220,直リンク
2026-08-21,調達ポータル,海外展開/海外,3,海外展開/海外,0000000000000550674,07-0049-0254 放送・配信コンテンツ産業の競争力強化や海外展開の推進等に関する調査の請負,総務省,東京都,令和07年10月28日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000550674,直リンク
2026-08-21,調達ポータル,海外展開/海外,3,海外展開/海外,0000000000000554975,マネージドネットワークサービス（MOFN）に係るオール光ネットワーク技術の海外展開に向けた調査研究の請負,総務省,東京都,令和07年11月25日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000554975,直リンク
2026-08-21,調達ポータル,海外展開/海外,3,海外展開/海外,0000000000000555877,オープンRAN市場における我が国のRU機器の海外展開に向けた調査請負,総務省,東京都,令和07年11月28日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000555877,直リンク
2026-08-21,調達ポータル,海外展開/海外,3,海外展開/海外,0000000000000570581,デジタル分野における我が国企業の海外展開に向けた官民連携の在り方及び地方企業・スタートアップ企業による海外展開の促進に関する調査研究,総務省,東京都,令和08年01月27日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000570581,直リンク
2026-08-21,調達ポータル,海外展開/海外,3,海外展開/海外,0000000000000570998,放送コンテンツの海外展開に向けた人材育成に係る調査研究の請負,総務省,東京都,令和08年01月28日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000570998,直リンク
2026-08-21,調達ポータル,海外展開/海外,3,海外展開/海外,0000000000000574160,07-0049-0351 放送・配信コンテンツ産業の競争力強化や海外展開の推進等に関する調査の請負,総務省,東京都,令和08年02月05日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000574160,直リンク
2026-08-21,調達ポータル,海外展開/海外,3,海外展開/海外,0000000000000598010,08-0049-0104 コーカサス地域及び中央アジアにおける医療ICTシステムの海外展開に向けた調査研究の請負,総務省,東京都,令和08年04月28日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000598010,直リンク
2026-08-21,調達ポータル,海外展開/海外,3,海外展開/海外,0000000000000604269,チリ共和国におけるAPNの海外展開に向けた実証実験に係る調査研究の請負,総務省,東京都,令和08年06月04日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000604269,直リンク
2026-08-21,調達ポータル,海外展開/海外,3,海外展開/海外,0000000000000608889,インドにおけるAPNの海外展開に向けたラボの設立及びフィールド実証を含む実証実験及び調査研究の請負,総務省,東京都,令和08年06月29日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000608889,直リンク
2026-08-21,調達ポータル,海外展開/海外,3,海外展開/海外,0000000000000611216,インフラシステム海外展開の在り方に係る調査業務,内閣官房,東京都,令和08年07月15日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000611216,直リンク
2026-08-21,調達ポータル,海外展開/海外,3,海外展開/海外,0000000000000614120,電波システム海外展開プロジェクトセミナー及び招聘（太平洋島嶼国及びアフリカ地域）,国土交通省,東京都,令和08年07月22日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000614120,直リンク
2026-08-21,調達ポータル,海外展開/海外,3,海外展開/海外,0000000000000614420,08-0049-0192 量子暗号通信の海外展開に向けた海外実証等の請負,総務省,東京都,令和08年07月27日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000614420,直リンク
2026-08-21,調達ポータル,海外展開/海外,3,海外展開/海外,,グリーン・脱炭素（ＧＸ）分野におけるインフラシステム海外展開促進のための調査研究業務,国土交通省,東京都,令和08年04月15日,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115,要検索（調達案件番号なし）
2026-08-21,調達ポータル,出展,3,パビリオン/出展,0000000000000571717,08-0049-0048 SET EXPO 2026における日本パビリオン出展を通じたブラジルTV3.0市場への我が国の放送・通信関連技術の展開促進に関する調査研究の請負,総務省,東京都,令和08年01月29日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000571717,直リンク
2026-08-21,調達ポータル,出展/出展/国際/国際,3,国際/出展/運営,,令和８年度２０２７年国際園芸博覧会政府出展の管理運営等に係る業務 一式,国土交通省,東京都,令和08年06月11日,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115,要検索（調達案件番号なし）
2026-08-21,調達ポータル,プロモーション/インバウンド,3,インバウンド/プロモーション,0000000000000604772,令和7年度（繰越）瀬戸内海国立公園インバウンド向けプロモーション計画素案作成業務,環境省,大阪府,令和08年06月03日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000604772,直リンク
2026-08-21,調達ポータル,プロモーション/観光,3,プロモーション/観光/運営,,『日米観光交流促進キャンペーン2026』に関するイベント運営・プロモーション等業務,国土交通省,東京都,令和08年07月15日,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115,要検索（調達案件番号なし）
2026-08-21,調達ポータル,海外/国際,2,海外/国際,0000000000000551639,07-0049-0264 量子中継技術の国際展開に向けた海外調査の請負,総務省,東京都,令和07年10月31日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000551639,直リンク
2026-08-21,調達ポータル,海外/国際,2,海外/国際,0000000000000611275,量子中継技術の国際展開に向けた海外実証等の請負,総務省,東京都,令和08年07月08日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000611275,直リンク
2026-08-21,調達ポータル,海外/国際,2,海外/国際,0000000000000616621,08-0049-0213 量子中継技術の国際展開に向けた海外実証等の請負（再度公告）,総務省,東京都,令和08年08月07日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000616621,直リンク
2026-08-21,調達ポータル,海外/プロモーション,2,海外/プロモーション,0000000000000617024,令和８年度 ウポポイ海外プロモーション業務,国土交通省,北海道,令和08年08月04日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000617024,直リンク
2026-08-21,調達ポータル,出展/国際,2,国際/出展,,令和７年度２０２７年国際園芸博覧会政府出展屋外展示制作に係る業務 一式,国土交通省,東京都,令和08年05月01日,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115,要検索（調達案件番号なし）
2026-08-21,調達ポータル,出展/国際,2,国際/出展,,令和７年度補正２０２７年国際園芸博覧会国際出展支援業務 一式,国土交通省,東京都,令和08年05月01日,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115,要検索（調達案件番号なし）
2026-08-21,調達ポータル,プロモーション/観光,2,プロモーション/観光,,観光コンテンツに係るプロモーション戦略・手法の体系化調査業務,国土交通省,東京都,令和08年07月10日,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115,要検索（調達案件番号なし）
2026-08-21,調達ポータル,観光,2,観光/運営,,第３回日土観光交流促進協議会の運営業務,国土交通省,東京都,令和08年08月19日,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115,要検索（調達案件番号なし）
2026-08-21,調達ポータル,情報発信/見本市/国際,2,国際/見本市,0000000000000573262,国際見本市等を通じた放送コンテンツの情報発信に関する調査,総務省,東京都,令和08年02月02日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000573262,直リンク
2026-08-21,調達ポータル,伝統/国際,2,国際/運営,0000000000000618339,関西国際空港における「伝統的酒造り」及び近畿産酒類のＰＲイベントの運営業務委託,財務省,大阪府,令和08年08月21日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618339,直リンク
