検出日,発注機関,都道府県,分類,tier,関連度,一致語,案件名,URL,調達ページ,ドメイン
2026-08-21,山形県庁,山形,自治体本体（都道府県）,tier_a,6,伝統工芸/工芸/販路/県産品,【産業労働部県産品・貿易振興課】伝統工芸品等産業販路開拓等支援事業業務委託に係る企画提案の募集（参加申込期限：令和８年６月５日、企画提案期限：令和８年６月16日,https://www.pref.yamagata.jp/110010/2026dentouhanrokaitaku.html,https://www.pref.yamagata.jp/kensei/nyuusatsujouhou/nyuusatsujouhou/proposal/index.html,pref.yamagata.jp
2026-08-21,一般財団法人伝統的工芸品産業振興協会,,主戦場直結,tier_a,5,伝統的工芸/工芸/催事,（2026/07/03 9:30 締切り）「2026年度 伝統的工芸品月間全国大会関連催事」物流（一括搬入・搬出）業務の入札について,https://kyokai.kougeihin.jp/association_info/20260612/,https://kyokai.kougeihin.jp/association_cat/%E5%85%AC%E5%8B%9F%E5%85%AC%E5%91%8A/,kyokai.kougeihin.jp
2026-08-21,中国経済産業局,,地方支分部局,tier_a,5,パビリオン/国際/展示会/出展,半導体の国際展示会「SEMICON Japan 2026」に中四国パビリオンとして共同出展に参加する企業・団体を募集します,https://www.chugoku.meti.go.jp/r8fy/koubo/handoutai/260615.html,https://www.chugoku.meti.go.jp/koubo.html,chugoku.meti.go.jp
2026-08-21,山形県庁,山形,自治体本体（都道府県）,tier_a,5,伝統工芸/工芸/県産品,【産業労働部県産品・貿易振興課】伝統工芸品等産業後継者人材発掘業務委託に係る企画提案の募集（参加申込期限：令和8年5月14日、企画提案期限：令和8年5月25日）,https://www.pref.yamagata.jp/110010/2026kougei-intern.html,https://www.pref.yamagata.jp/kensei/nyuusatsujouhou/nyuusatsujouhou/proposal/index.html,pref.yamagata.jp
2026-08-21,（公財）東京都中小企業振興公社,東京,都道府県等中小企業支援センター,tier_a,5,伝統工芸/工芸/運営,令和8年度 伝統工芸品産業経営課題解決支援事業（職人ステップアップ事業）「普及啓発セミナー」「経営課題別特別講座」企画運営業務委託先選定実施について（総合評価方式）（令和8年5月11日 令和8年5月11日9:00～ 令和8年5月19日14:00）,http://www.tokyo-kosha.or.jp/kosha/keiyaku/,http://www.tokyo-kosha.or.jp/kosha/keiyaku/,tokyo-kosha.or.jp
2026-08-21,一般財団法人伝統的工芸品産業振興協会,,主戦場直結,tier_a,4,伝統工芸/工芸,（2026/07/09 締切り）「日本の伝統工芸士ナビ」掲載内容の収集及び登録用データ作成の公募について【企画競争】,https://kyokai.kougeihin.jp/association_info/20260626/,https://kyokai.kougeihin.jp/association_cat/%E5%85%AC%E5%8B%9F%E5%85%AC%E5%91%8A/,kyokai.kougeihin.jp
2026-08-21,一般財団法人伝統的工芸品産業振興協会,,主戦場直結,tier_a,4,伝統的工芸/工芸,（2026/06/16 12:00 締切り）令和8年度「伝統的工芸品公募作品展」作品管理・展示・輸送等業務委託【企画公募】,https://kyokai.kougeihin.jp/association_info/20260602/,https://kyokai.kougeihin.jp/association_cat/%E5%85%AC%E5%8B%9F%E5%85%AC%E5%91%8A/,kyokai.kougeihin.jp
2026-08-21,一般財団法人伝統的工芸品産業振興協会,,主戦場直結,tier_a,4,伝統的工芸/工芸,（2026/06/30 9:30 締切り）「第43回伝統的工芸品月間国民会議全国大会」設営業務等の公募について【企画競争】,https://kyokai.kougeihin.jp/association_info/20260601-2/,https://kyokai.kougeihin.jp/association_cat/%E5%85%AC%E5%8B%9F%E5%85%AC%E5%91%8A/,kyokai.kougeihin.jp
2026-08-21,一般財団法人伝統的工芸品産業振興協会,,主戦場直結,tier_a,4,伝統的工芸/工芸,（2026/06/01 17:00 締切り）令和8年度 学生等に対する伝統的工芸品教育事業「次世代開拓サポート」 事務局業務の公募について【企画競争】,https://kyokai.kougeihin.jp/association_info/20260518/,https://kyokai.kougeihin.jp/association_cat/%E5%85%AC%E5%8B%9F%E5%85%AC%E5%91%8A/,kyokai.kougeihin.jp
2026-08-21,一般財団法人伝統的工芸品産業振興協会,,主戦場直結,tier_a,4,伝統的工芸/工芸,（2026/05/22 17:00 締切り）令和8年度 伝統的工芸品産地実勢調査 調査業務委託事業者の公募について【企画競争】,https://kyokai.kougeihin.jp/association_info/20260420/,https://kyokai.kougeihin.jp/association_cat/%E5%85%AC%E5%8B%9F%E5%85%AC%E5%91%8A/,kyokai.kougeihin.jp
2026-08-21,一般財団法人伝統的工芸品産業振興協会,,主戦場直結,tier_a,4,伝統工芸/工芸,（2026/05/22 18:00 締切り）「伝統工芸 青山スクエア」展示台配置レイアウト及び新設に伴う公募について【企画競争】,https://kyokai.kougeihin.jp/association_info/20260428/,https://kyokai.kougeihin.jp/association_cat/%E5%85%AC%E5%8B%9F%E5%85%AC%E5%91%8A/,kyokai.kougeihin.jp
2026-08-21,一般財団法人伝統的工芸品産業振興協会,,主戦場直結,tier_a,4,伝統的工芸/工芸,令和8年度「伝統的工芸品公募作品展」作品募集のお知らせ,https://kyokai.kougeihin.jp/association_info/20260703/,https://kyokai.kougeihin.jp/association_cat/%E5%85%AC%E5%8B%9F%E5%85%AC%E5%91%8A/,kyokai.kougeihin.jp
2026-08-21,山形県庁,山形,自治体本体（都道府県）,tier_a,4,輸出/販路/商談会/バイヤー,【農林水産部農産物販路開拓・輸出推進課】「おいしい山形・食材王国みやぎビジネス商談会」遠隔地バイヤー招へい等業務委託にかかる企画提案の募集（参加申込期限：令和8年6月19日、企画提案期限：令和8年6月26日）,https://www.pref.yamagata.jp/140031/shokubiji/20260529mybusiness.html,https://www.pref.yamagata.jp/kensei/nyuusatsujouhou/nyuusatsujouhou/proposal/index.html,pref.yamagata.jp
2026-08-21,（公財）東京都中小企業振興公社,東京,都道府県等中小企業支援センター,tier_a,4,パビリオン/展示会/運営,令和8年度 東京都中小企業振興公社パビリオン展示会運営業務委託(産業交流展2026)（令和8年6月3日 令和8年6月3日9:00～ 令和8年6月11日14:00）,http://www.tokyo-kosha.or.jp/kosha/keiyaku/,http://www.tokyo-kosha.or.jp/kosha/keiyaku/,tokyo-kosha.or.jp
2026-08-21,（公財）東京都中小企業振興公社,東京,都道府県等中小企業支援センター,tier_a,4,パビリオン/展示会/運営,令和8年度 東京都中小企業振興公社パビリオン展示会運営業務委託(CEATEC2026 ／ スマートファクトリーJapan2026)（令和8年5月7日 令和8年5月7日9:00～ 令和8年5月15日14:00）,http://www.tokyo-kosha.or.jp/kosha/keiyaku/,http://www.tokyo-kosha.or.jp/kosha/keiyaku/,tokyo-kosha.or.jp
2026-08-21,宮城県庁,宮城,自治体本体（都道府県）,tier_a,3,工芸/販路,令和8年度宮城県県産工芸品欧州販路開拓支援業務の企画提案を募集します,https://www.pref.miyagi.jp/soshiki/kokusaibiz/r8kougeihin/kikakuteian.html,https://www.pref.miyagi.jp/life/8/40/,pref.miyagi.jp
2026-08-21,山形県庁,山形,自治体本体（都道府県）,tier_a,3,プロモーション/観光/文化,【観光文化スポーツ部観光プロモーション課】韓国市場における二次交通を活用した県内広域周遊促進事業業務委託に係る企画提案の募集について（参加申込期限:令和8年8月26日（水曜日）、企画提案書提出期限:令和8年8月28日（金曜日）,https://www.pref.yamagata.jp/110017/20260731.html,https://www.pref.yamagata.jp/kensei/nyuusatsujouhou/nyuusatsujouhou/proposal/index.html,pref.yamagata.jp
2026-08-21,山形県庁,山形,自治体本体（都道府県）,tier_a,3,プロモーション/観光/文化,【観光文化スポーツ部観光交流拡大課】令和8年度山形県最上・庄内エリア山岳魅力発信プロモーション業務に係る企画提案の募集（参加申込期限:令和8年3月30日（月曜日）、企画提案期限:令和8年4月13日（月曜日）,https://www.pref.yamagata.jp/110017/r8sangaku.html,https://www.pref.yamagata.jp/kensei/nyuusatsujouhou/nyuusatsujouhou/proposal/index.html,pref.yamagata.jp
2026-08-21,山形県庁,山形,自治体本体（都道府県）,tier_a,3,国際/文化/運営,【みらい企画創造部多文化共生・国際交流推進課】令和８年度「山形県外国人材採用支援デスク」運営業務委託に関する企画提案の募集（参加申込期限：令和８年３月３、企画提案書提出期限：令和８年３月10日）,https://www.pref.yamagata.jp/020040/deskpropo.html,https://www.pref.yamagata.jp/kensei/nyuusatsujouhou/nyuusatsujouhou/proposal/index.html,pref.yamagata.jp
2026-08-21,（公財）三重県産業支援センター,三重,都道府県等中小企業支援センター,tier_a,3,海外展開/海外,令和８年度中小企業等海外展開支援事業費補助金（海外出願支援事業）を交付決定しました,http://www.miesc.or.jp/support/contents/1586/,http://www.miesc.or.jp/#jmp_compe,miesc.or.jp
2026-08-21,独立行政法人日本貿易振興機構（JETRO）,,国の外郭団体,tier_a,2,海外/運営,海外赴帰任サポートデスク運営並びに海外赴帰任における航空券の調達及び附帯サービスの提供,https://www.jetro.go.jp/procurement/bid/hra/09e0811590343b4c.html,https://www.jetro.go.jp/procurement/,jetro.go.jp
2026-08-21,内閣府沖縄総合事務局,,地方支分部局,tier_a,2,観光/運営,沖縄地区広域連携観光戦略会議開催にかかる運営等委託事業,https://www.ogb.go.jp/-/media/Files/OGB/Soumu/choutatu/futan2/03R5/080626-koukoku-kaigiunei.pdf,https://www.ogb.go.jp/soumu/soumu_tyouta,ogb.go.jp
2026-08-21,内閣府沖縄総合事務局,,地方支分部局,tier_a,2,観光/運営,沖縄地区広域連携観光戦略会議運営にかかる運営等委託事業,https://www.ogb.go.jp/-/media/Files/OGB/Soumu/choutatu/futan2/03R5/080715-koubokekka-kaigiunei.pdf,https://www.ogb.go.jp/soumu/soumu_tyouta,ogb.go.jp
2026-08-21,さいたま市,埼玉,自治体本体（政令市）,tier_a,2,インバウンド,【最優秀提案者を決定しました】さいたま市インバウンド促進業務 企画提案の募集について,https://www.city.saitama.lg.jp/005/001/017/012/p130442.html,https://www.city.saitama.lg.jp/005/001/017/index.html,city.saitama.lg.jp
2026-08-21,堺市,大阪,自治体本体（政令市）,tier_a,2,文化/運営,（令和8年8月17日公表）堺市立中学校地域クラブ活動管理運営業務（文化部）に係る一般競争入札を実施（学校保健体育課）,https://www.city.sakai.lg.jp/kosodate/kyoiku/boshu/nyusatsu/bunkabu.html,https://www.city.sakai.lg.jp/boshu/index.html,city.sakai.lg.jp
2026-08-21,和歌山県庁,和歌山,自治体本体（都道府県）,tier_a,2,ブランド/運営,【5/19審査結果追記しました】令和8年度和歌山県産ブランド和牛取扱飲食店応援イベントフェア企画運営業務委託に係る公募型プロポーザルの実施について,https://www.pref.wakayama.lg.jp/prefg/070400/d00222043.html,https://www.pref.wakayama.lg.jp/whatsnew/nyusatsu.html,pref.wakayama.lg.jp
