検出日,経路,関連度,一致語,案件名,明細,URL
2026-09-15,東京都電子調達,3,パビリオン/運営,【電子】 「（仮称）SusHi Tech Tokyo 2027 未来体験パビリオン」企画・運営等業務委託,令和8年9月15日 / 08-03110 / 【電子】 「（仮称）SusHi Tech Tokyo 2027 未来体験パビリオン」企画・運営等業務委託 / 催事関係業務 / 契約確定の日の翌日から令和9年7月30日まで / 希望制指名競争入札(総合評価方式) / A / A / 9月15日 ～9月18日 / 受付中 / 財務局経理部契約第二課,https://www.e-procurement.metro.tokyo.lg.jp/indexPbi.jsp
2026-09-15,東京都電子調達,1,運営,【電子】 「一都三県ヤミ金融被害防止合同キャンペーン」外１件の会場設営・運営等の委託,"令和8年9月15日 / 08-00660 / 【電子】 「一都三県ヤミ金融被害防止合同キャンペーン」外１件の会場設営・運営等の委託 / 催事関係業務 / 契約確定の日の翌日から令和8年11月27日まで / 希望制指名競争入札 / C / B,C / 9月15日 ～9月18日 / 受付中 / 産業労働局総務部計理課",https://www.e-procurement.metro.tokyo.lg.jp/indexPbi.jsp
2026-09-15,東京都電子調達,1,デザイン,【電子】 「東京都気候変動適応計画2026年度版（仮）」の編集・デザイン作成委託,"令和8年9月14日 / 08-00361 / 【電子】 「東京都気候変動適応計画2026年度版（仮）」の編集・デザイン作成委託 / 広告代理 / 契約確定の日の翌日から令和9年3月24日まで / 希望制指名競争入札 / B / A,B / 9月14日 ～9月17日 / 受付中 / 環境局総務部経理課",https://www.e-procurement.metro.tokyo.lg.jp/indexPbi.jsp
2026-09-15,東京都電子調達,1,運営,【電子】 令和８年度葛西海浜公園イベント会場設営運営等委託,"令和8年9月14日 / 08-00229 / 【電子】 令和８年度葛西海浜公園イベント会場設営運営等委託 / 催事関係業務 / 契約確定の日の翌日から令和9年1月29日まで / 希望制指名競争入札 / B / A,B / 9月14日 ～9月18日 / 受付中 / 港湾局総務部財務課",https://www.e-procurement.metro.tokyo.lg.jp/indexPbi.jsp
2026-09-15,東京都電子調達,1,文化,【電子】 東京都文化財情報システムの再構築委託,令和8年9月14日 / 08-70076 / 【電子】 東京都文化財情報システムの再構築委託 / 情報処理業務 / 契約確定の日の翌日から令和9年3月31日まで / 希望制指名競争入札(総合評価方式) / B / B / 9月14日 ～9月17日 / 受付中 / 教育庁総務部契約管財課,https://www.e-procurement.metro.tokyo.lg.jp/indexPbi.jsp
2026-09-15,東京都電子調達,1,デザイン,【電子】 都立八王子桑志高等学校 什器の買入れ（デザイン）,令和8年9月14日 / 08-20559 / 【電子】 都立八王子桑志高等学校 什器の買入れ（デザイン） / 什器・家具 / 令和8年12月10日 / 希望制指名競争入札 / B / B / 9月14日 ～9月17日 / 受付中 / 西部学校経営支援センター管理課,https://www.e-procurement.metro.tokyo.lg.jp/indexPbi.jsp
2026-09-15,東京都電子調達,1,運営,【電子】 令和８年度ISO/IEC17025マネジメントシステム運営支援業務委託,令和8年9月14日 / 08-00032 / 【電子】 令和８年度ISO/IEC17025マネジメントシステム運営支援業務委託 / 企画立案支援 / 契約締結の日の翌日から令和9年1月29日まで / 希望制指名競争入札 / C / C / 9月14日 ～9月18日 / 受付中 / 水道局水質センター企画調査課,https://www.e-procurement.metro.tokyo.lg.jp/indexPbi.jsp
2026-09-15,東京都電子調達,1,運営,【電子】 令和８年度東京ｉＣＤＣフォーラム運営業務委託,令和8年9月10日 / 08-59215 / 【電子】 令和８年度東京ｉＣＤＣフォーラム運営業務委託 / 催事関係業務 / 契約確定の日の翌日から令和9年3月31日まで / 希望制指名競争入札 / B / B / 9月10日 ～9月16日 / 受付中 / 保健医療局総務部総務課,https://www.e-procurement.metro.tokyo.lg.jp/indexPbi.jsp
2026-09-15,東京都電子調達,1,運営,【電子】 都立足立高等学校 高等学校DX加速化推進事業に係る専門人材を活用した授業プログラム企画運営業務委託,"令和8年9月9日 / 08-00575 / 【電子】 都立足立高等学校 高等学校DX加速化推進事業に係る専門人材を活用した授業プログラム企画運営業務委託 / 事務支援 / 契約確定の日の翌日から令和9年1月29日まで / 希望制指名競争入札 / C / B,C / 9月9日 ～9月18日 / 受付中 / 東部学校経営支援センター管理課",https://www.e-procurement.metro.tokyo.lg.jp/indexPbi.jsp
2026-09-15,東京都電子調達,1,観光,【電子】 歩行者用観光案内標識地図データ更新委託（８五－１）,"令和8年9月7日 / 08-00094 / 【電子】 歩行者用観光案内標識地図データ更新委託（８五－１） / 都市計画・交通等計画業務 / 契約確定の日の翌日から令和9年3月12日まで / 希望制指名競争入札 / B / A,B,C / 9月7日 ～9月14日 / 受付終了 / 第五建設事務所庶務課",https://www.e-procurement.metro.tokyo.lg.jp/indexPbi.jsp
