観測日時,チャネルID,見出し,リンク,判定
2026-09-16 07:37,chancenavi,ビジネスチャンス・ナビは、官民の入札・調達情報を一元的に集約した,,未登録
2026-09-16 07:37,chancenavi,「Tokyo Tokyo Delicious Museum 2027」企画運営業務に係る受託事業者の募集,,既知
2026-09-16 07:37,chancenavi,TOKYO LIGHTS 2027企画・運営等業務委託 事業者の募集,,既知
2026-09-16 07:37,chancenavi,「多摩の森」活性化プロジェクト機運醸成事業に係る業務委託事業者の募集,,既知
2026-09-16 07:37,chancenavi,現在、募集中の入札・発注情報はありません。,,未登録
2026-09-16 07:37,chancenavi,会場計画等基本検討業務委託,,未登録
2026-09-16 07:37,chancenavi,令和8年度産休・育業代替教員等確保支援業務に係る労働者派遣（単価契約）,,未登録
2026-09-16 07:37,chancenavi,国・独立行政法人等入札情報の検索画面,,未登録
2026-09-16 07:37,chancenavi,入札・発注 案件数（募集中）,,未登録
2026-09-16 07:37,chancenavi,入札、発注案件数（募集中）タブ,,未登録
2026-09-16 07:37,chancenavi,東京2020組織委員会 （電子入札）,,未登録
2026-09-16 07:37,chancenavi,都外郭団体等 （電子入札）,,未登録
2026-09-16 07:37,chancenavi,都・都内区市町村等 （入札情報）,,未登録
2026-09-16 07:37,chancenavi,入札・発注案件を探す,,未登録
2026-09-16 07:37,tokyo-sangyo-rodo,広域的な観光案内拠点（秋葉原地域）を整備・運営する事業者の募集について,,未登録
2026-09-16 07:37,tokyo-startup,SusHi Tech Tokyo2025に関する企画等業務に係る委託事業者の募集,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/sushitechtokyo2025,未登録
2026-09-16 07:37,tokyo-startup,SusHi Tech Tokyo 2027に関する企画・運営等業務に係る委託事業者の募集,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/sushitechtokyo2027,既知
2026-09-16 07:37,tokyo-startup,TIBにおけるエコシステムプレイヤーのネットワーク形成に係るコーディネート事業者の募集,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/tokyo-innovation-base-fp5-r8,未登録
2026-09-16 07:37,tokyo-startup,TIBにおける全国・世界の大学とのネットワーク形成に係るコーディネート事業者の募集,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/tokyo-innovation-base-fp2,未登録
2026-09-16 07:37,tokyo-startup,TIBにおけるテストマーケティング等プロジェクト実施事業者の募集,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/tokyo-innovation-base-shop8,未登録
2026-09-16 07:37,tokyo-startup,TIBオープンイノベーション導入・促進プログラム実施事業者の募集,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/tokyo-innovation-base-oip-r8,未登録
2026-09-16 07:37,tokyo-startup,令和８年度 SusHi Tech Global事務局の公募について,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/r8sushitechglobaljimukyoku,未登録
2026-09-16 07:37,tokyo-startup,SusHi Tech Global成長加速プログラム（第２期）運営事業者の公募について,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/growth-acceleration-program-02,未登録
2026-09-16 07:37,tokyo-startup,SusHi Tech Globalの対象スタートアップのうち、将来的にユニコーンになり得る有望なスタートアップに対して実施する成長加速プログラム（第２期）運営事業者を募集します。,,未登録
2026-09-16 07:37,tokyo-startup,SusHi Tech Global成長加速プログラム（第３期）運営事業者の公募について,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/growth-acceleration-program-03,未登録
2026-09-16 07:37,tokyo-startup,SusHi Tech Globalの対象スタートアップのうち、将来的にユニコーンになり得る有望なスタートアップに対して実施する成長加速プログラム（第３期）運営事業者を募集します。,,未登録
2026-09-16 07:37,tokyo-startup,キングサーモンプロジェクト（社会課題チャレンジコース）事務局事業者の公募について,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/kingsalmon-social-jimukyoku08,未登録
2026-09-16 07:37,tokyo-startup,令和８年度スタートアップエコシステムのグローバル化に向けた海外投資家等コネクティングプロジェクトに係る事業者公募開始について,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/connecting-project-2026,未登録
2026-09-16 07:37,tokyo-startup,スタートアップキャリアフェア2026 運営事業者の募集を開始いたします。,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/-startupcareerfair_2026/coordinator,未登録
2026-09-16 07:37,tokyo-startup,スタートアップエコシステムのグローバル化に向けた海外VC等コネクティングプロジェクトに係る事業者公募開始について,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/connecting-project-2025,未登録
2026-09-16 07:37,expo2027,2026.09.16 委託等,https://expo2027yokohama.or.jp/contract/detail/20260916-001417.html,未登録
2026-09-16 07:37,expo2027,２０２７年国際園芸博覧会 協会警備隊資機材賃貸借契約の一般競争入札について,,未登録
2026-09-16 07:37,expo2027,２０２７年国際園芸博覧会 協会警備隊資機材賃貸借契約 その２の一般競争入札について,,未登録
2026-09-16 07:37,expo2027,2026.09.14 委託等,https://expo2027yokohama.or.jp/contract/detail/20260914-001419.html,未登録
2026-09-16 07:37,expo2027,２０２７年国際園芸博覧会 車両検査場等に係る賃貸借の一般競争入札について,,未登録
2026-09-16 07:37,expo2027,２０２７年国際園芸博覧会 外周フェンス侵入探知センサー設置等に係る業務委託の一般競争入札について,,未登録
2026-09-16 07:37,expo2027,2026.09.09 委託等,https://expo2027yokohama.or.jp/contract/detail/20260909-001352.html,未登録
2026-09-16 07:37,expo2027,【質問回答】２０２７年国際園芸博覧会賓客車両運行管理業務委託の一般競争入札について,,未登録
