公表日,契約番号,件名,営業種目,履行期間,契約方法
令和8年8月28日,08-00581,【電子】 東京都地域通訳案内士認定研修及びフォローアップ研修の企画運営業務委託,事務支援,契約確定の日の翌日から令和9年3月31日まで,希望制指名競争入札
令和8年8月28日,08-10471,【電子】 都立立川高等学校外12校 産業廃棄物収集運搬・処分委託,廃棄物処理,契約確定の日の翌日から令和8年12月28日まで,希望制指名競争入札
令和8年8月28日,08-10472,【電子】 都立八王子東高等学校外12校 産業廃棄物収集運搬・処分委託,廃棄物処理,契約確定の日の翌日から令和8年12月28日まで,希望制指名競争入札
令和8年8月28日,08-20735,【電子】 大江戸線ずい道照明設備保守点検委託,電気・暖冷房等設備保守,契約締結の日から令和9年2月26日まで,希望制指名競争入札
令和8年8月28日,08-20736,【電子】 鋳鋼クリップ外９点（馬込・志村・木場）の買入れ,電車両・軌道用品,令和9年1月15日,希望制指名競争入札
令和8年8月28日,08-20737,【電子】 平座金外２３点（馬込・志村・大島・木場・光が丘）の買入れ,電車両・軌道用品,令和9年1月15日,希望制指名競争入札
令和8年8月28日,08-20756,【電子】 大型スポットクーラー（渋谷ほか）の買入れ,産業用機械器具類,令和9年1月29日,希望制指名競争入札
令和8年8月28日,08-20757,【電子】 令和８年度運転席大型仕切板の買入れ,自動車・自転車,令和9年3月19日,希望制指名競争入札
令和8年8月28日,08-00025,【電子】 東京都水道局北営業所什器等運搬委託（その３）,運送等請負,契約確定の日の翌日から令和8年10月30日まで,希望制指名競争入札
令和8年8月27日,08-00339,【電子】 令和８年度全国各地との連携事業における都営地下鉄広告の掲出（その３）,広告代理,契約確定の日の翌日から令和8年11月20日まで,希望制指名競争入札
令和8年8月27日,08-00029,【電子】 電気自動車の買入れ,自動車・自転車,令和9年2月26日,希望制指名競争入札
令和8年8月27日,08-00571,【電子】 CNCロータリーテーブルの買入れ（東京都立城東職業能力開発センター江戸川校）,工作用機械器具,令和8年12月28日,希望制指名競争入札
令和8年8月27日,08-00572,【電子】 プログラマブルコントローラ外３点の買入れ（東京都立多摩職業能力開発センター府中校）,産業用機械器具類,令和9年2月26日,希望制指名競争入札
令和8年8月27日,08-00573,【電子】 パーソナルコンピュータの借入れ（東京都立城南職業能力開発センター大田校）,賃貸業務,令和9年3月1日から令和14年2月29日まで（地方自治法第234条の３の規定による長期継続契約）,希望制指名競争入札（長期継続契約）
令和8年8月27日,08-00579,【電子】 白鬚東共同利用工場汚染物除去及び産業廃棄物収集運搬・処分委託（単価契約）,廃棄物処理,契約確定の日の翌日から令和8年11月6日まで,希望制指名競争入札
令和8年8月27日,08-00317,【電子】 医薬品(アスベリン酸10％外138点)の買入れ（単価契約）,医薬品・診療材料・介護用品,令和8年10月1日から令和9年3月31日まで,希望制指名競争入札
令和8年8月27日,08-00318,【電子】 医薬品(ｱｾﾄｱﾐﾉﾌｪﾝ錠200g「ﾏﾙｲｼ」PTP外175点)の買入れ（単価契約）,医薬品・診療材料・介護用品,令和8年10月1日から令和9年3月31日まで,希望制指名競争入札
令和8年8月27日,08-00319,【電子】 医薬品(ｸﾗﾊﾞﾓｯｸｽ小児用配合ﾄﾞﾗｲｼﾛｯﾌﾟ0.505g外4点)の買入れ（単価契約）,医薬品・診療材料・介護用品,令和8年10月1日から令和9年3月31日まで,希望制指名競争入札
令和8年8月27日,08-00335,【電子】 令和８年度新島空港予備自家発電設備点検委託,電気・暖冷房等設備保守,契約確定の日の翌日から令和9年1月15日まで,希望制指名競争入札
